Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,key_resp_welcome_screen.keys,key_resp_welcome_screen.rt,key_resp_welcome_screen.started,key_resp_welcome_screen.stopped,text_baseline_screen.started,text_baseline_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_stress_screen.started,text_stress_screen.stopped,sound_1.started,sound_1.stopped,participant,session,startTime,date,expName,psychopyVersion,frameRate,
,,,,,,6.186920900014229,None,space,1.205909000011161,6.186920900014229,None,,,,,,,,,,,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
,,,,,,,,,,,,7.405081999953836,None,27.905995000037365,None,2,2.97,,,,,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
2,green,0,0,0,0,,,,,,,,,,,,,36.95109510002658,None,48.25288879999425,48.65842430002522,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
3,green,0,1,1,1,,,,,,,,,,,,,,,49.226970799965784,49.6262732000323,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
4,green,0,2,2,2,,,,,,,,,,,,,,,50.224397400044836,None,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
5,green,0,3,3,3,,,,,,,,,,,,,,,51.22269109997433,None,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
6,green,0,4,4,4,,,,,,,,,,,,,,,52.22386539995205,None,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
7,green,0,5,5,5,,,,,,,,,,,,,,,53.2256655000383,53.63824999995995,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
8,green,0,6,6,6,,,,,,,,,,,,,,,54.22740840003826,54.640055599971674,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
9,green,0,7,7,7,,,,,,,,,,,,,,,55.22877169994172,55.63464910001494,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
10,green,0,8,8,8,,,,,,,,,,,,,,,56.223376799956895,56.62925510003697,,001,,2019_Aug_22_1653,MTEC_paradigm,3.1.3,148.38270271595047,
