Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_evaluation_pos.thisRepN,emotion_evaluation_pos.thisTrialN,emotion_evaluation_pos.thisN,emotion_evaluation_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,emotion_evaluation_neg.thisRepN,emotion_evaluation_neg.thisTrialN,emotion_evaluation_neg.thisN,emotion_evaluation_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,key_resp_welcome_screen.keys,key_resp_welcome_screen.rt,key_resp_welcome_screen.started,key_resp_welcome_screen.stopped,text_baseline_screen.started,text_baseline_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_stress_screen.started,text_stress_screen.stopped,sound_1.started,sound_1.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,rating_stress_part_one.started,rating_stress_part_one.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,rating_stress_part_two.started,rating_stress_part_two.stopped,text_cooldown_countdown.started,text_cooldown_countdown.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,rating_cooldown.started,rating_cooldown.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,image_emotion_evaluation_pos.started,image_emotion_evaluation_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,rating_emotion_evaluation_pos.started,rating_emotion_evaluation_pos.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,image_emotion_evaluation_neg.started,image_emotion_evaluation_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,rating_emotion_evaluation_neg.started,rating_emotion_evaluation_neg.stopped,text_ending_screen.started,text_ending_screen.stopped,participant,session,startTime,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.050456700002542,None,space,5.758129900001222,12.050456700002542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.821673800004646,None,38.32855989999371,None,2,7.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
2,green,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.1944691000099,None,425.8184184000129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
3,green,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.79091460001655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
4,green,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.7906343000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
5,green,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.79001910000807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
6,green,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.79024060000665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
7,green,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.790018700005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
8,green,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.78973039999255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
9,green,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.789179400017,433.28880979999667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik,001,,2019_Aug_26_1436,MTEC_paradigm,3.1.3,148.16351323223356,
