path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_evaluation_neg.started_mean,image_emotion_evaluation_neg.started_raw,image_emotion_evaluation_neg.started_std,image_emotion_evaluation_neg.stopped_raw,rating_emotion_evaluation_neg.response_mean,rating_emotion_evaluation_neg.response_raw,rating_emotion_evaluation_neg.response_std,rating_emotion_evaluation_neg.rt_mean,rating_emotion_evaluation_neg.rt_raw,rating_emotion_evaluation_neg.rt_std,rating_emotion_evaluation_neg.started_mean,rating_emotion_evaluation_neg.started_raw,rating_emotion_evaluation_neg.started_std,rating_emotion_evaluation_neg.stopped_raw,order
resources\pictures\,Negative\,1240.0,spider,.jpg,resources\pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2728.999267578125,2728.999267578125,0.0,,2.0,2.0,0.0,1.2549999952316284,1.2549999952316284,0.0,0.01716330088675022,0.01716330088675022,0.0,,11.0
resources\pictures\,Negative\,1300.0,dog threat 1,.jpg,resources\pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2745.257568359375,2745.257568359375,0.0,,1.0,1.0,0.0,2.4079999923706055,2.4079999923706055,0.0,0.01806819997727871,0.01806819997727871,0.0,,23.0
resources\pictures\,Negative\,1302.0, dog threat 2,.jpg,resources\pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2763.7666015625,2763.7666015625,0.0,,2.0,2.0,0.0,1.0779999494552612,1.0779999494552612,0.0,0.018092500045895576,0.018092500045895576,0.0,,34.0
resources\pictures\,Negative\,2206.0,fingerprints,.jpg,resources\pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2756.972412109375,2756.972412109375,0.0,,2.0,2.0,0.0,1.1130000352859497,1.1130000352859497,0.0,0.018263399600982666,0.018263399600982666,0.0,,29.0
resources\pictures\,Negative\,2221.0,judge,.jpg,resources\pictures\Negative\2221.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2719.597412109375,2719.597412109375,0.0,,2.0,2.0,0.0,1.0420000553131104,1.0420000553131104,0.0,0.017262399196624756,0.017262399196624756,0.0,,3.0
resources\pictures\,Negative\,2276.0,child crying,.jpg,resources\pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2737.882568359375,2737.882568359375,0.0,,2.0,2.0,0.0,1.2339999675750732,1.2339999675750732,0.0,0.017079100012779236,0.017079100012779236,0.0,,18.0
resources\pictures\,Negative\,2278.0,poor children,.jpg,resources\pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2752.615478515625,2752.615478515625,0.0,,2.0,2.0,0.0,2.7330000400543213,2.7330000400543213,0.0,0.019138900563120842,0.019138900563120842,0.0,,27.0
resources\pictures\,Negative\,2375.1,famine,.jpg,resources\pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2720.66650390625,2720.66650390625,0.0,,2.0,2.0,0.0,1.159000039100647,1.159000039100647,0.0,0.016601599752902985,0.016601599752902985,0.0,,4.0
resources\pictures\,Negative\,2399.0,headache,.jpg,resources\pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2726.845703125,2726.845703125,0.0,,2.0,2.0,0.0,1.0219999551773071,1.0219999551773071,0.0,0.016670800745487213,0.016670800745487213,0.0,,9.0
resources\pictures\,Negative\,2410.0,math problem,.jpg,resources\pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2742.021484375,2742.021484375,0.0,,2.0,2.0,0.0,1.274999976158142,1.274999976158142,0.0,0.017955100163817406,0.017955100163817406,0.0,,21.0
