WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,n,key_resp_stress_part_two.keys_raw,key_resp_stress_part_two.rt_mean,key_resp_stress_part_two.rt_raw,key_resp_stress_part_two.rt_std,key_resp_stress_part_two.started_mean,key_resp_stress_part_two.started_raw,key_resp_stress_part_two.started_std,key_resp_stress_part_two.stopped_raw,order
red,green,red,green,right,1.0,'right',1.568353295326233,1.568353295326233,0.0,986.63720703125,986.63720703125,0.0,,157.0
red,magenta,red,magenta,right,1.0,'right',0.796707272529602,0.796707272529602,0.0,939.2739868164062,939.2739868164062,0.0,,127.0
red,cyan,red,cyan,right,1.0,'right',2.73813796043396,2.73813796043396,0.0,1005.42041015625,1005.42041015625,0.0,,171.0
red,yellow,red,yellow,right,1.0,'right',0.8791841268539429,0.8791841268539429,0.0,1012.8093872070312,1012.8093872070312,0.0,,175.0
red,orange,red,orange,right,1.0,'right',1.2292108535766602,1.2292108535766602,0.0,914.7913208007812,914.7913208007812,0.0,,112.0
red,purple,red,purple,right,1.0,'right',1.0158934593200684,1.0158934593200684,0.0,861.9436645507812,861.9436645507812,0.0,,75.0
red,brown,red,brown,right,1.0,'right',3.227036714553833,3.227036714553833,0.0,909.9715576171875,909.9715576171875,0.0,,110.0
red,grey,red,grey,right,1.0,'right',0.9222415089607239,0.9222415089607239,0.0,873.0763549804688,873.0763549804688,0.0,,83.0
red,black,red,black,right,1.0,'right',1.2774684429168701,1.2774684429168701,0.0,1003.0200805664062,1003.0200805664062,0.0,,169.0
blue,green,blue,green,right,1.0,'right',3.137106418609619,3.137106418609619,0.0,826.5574340820312,826.5574340820312,0.0,,52.0
blue,magenta,blue,magenta,right,1.0,'right',0.9922183156013489,0.9922183156013489,0.0,938.2623291015625,938.2623291015625,0.0,,126.0
blue,cyan,blue,cyan,right,1.0,'right',1.224868655204773,1.224868655204773,0.0,899.154541015625,899.154541015625,0.0,,101.0
blue,yellow,blue,yellow,right,1.0,'right',3.022289276123047,3.022289276123047,0.0,1025.3565673828125,1025.3565673828125,0.0,,184.0
blue,orange,blue,orange,right,1.0,'right',1.8512061834335327,1.8512061834335327,0.0,801.1043701171875,801.1043701171875,0.0,,37.0
blue,purple,blue,purple,right,1.0,'right',1.4060380458831787,1.4060380458831787,0.0,1060.5166015625,1060.5166015625,0.0,,204.0
blue,brown,blue,brown,right,1.0,'right',1.8261711597442627,1.8261711597442627,0.0,901.7724609375,901.7724609375,0.0,,103.0
blue,grey,blue,grey,right,1.0,'right',0.985184907913208,0.985184907913208,0.0,773.17041015625,773.17041015625,0.0,,16.0
blue,black,blue,black,right,1.0,'right',1.1749886274337769,1.1749886274337769,0.0,862.9776000976562,862.9776000976562,0.0,,76.0
blue,red,blue,red,right,1.0,'right',0.8531599044799805,0.8531599044799805,0.0,1076.870361328125,1076.870361328125,0.0,,214.0
green,magenta,green,magenta,right,1.0,'right',4.099935054779053,4.099935054779053,0.0,1051.1175537109375,1051.1175537109375,0.0,,198.0
green,cyan,green,cyan,right,1.0,'right',2.2784037590026855,2.2784037590026855,0.0,1038.6431884765625,1038.6431884765625,0.0,,190.0
green,yellow,green,yellow,right,1.0,'right',1.3010231256484985,1.3010231256484985,0.0,989.4965209960938,989.4965209960938,0.0,,159.0
green,orange,green,orange,right,1.0,'right',1.083521842956543,1.083521842956543,0.0,1004.3201293945312,1004.3201293945312,0.0,,170.0
green,purple,green,purple,right,1.0,'right',1.6862057447433472,1.6862057447433472,0.0,984.9293823242188,984.9293823242188,0.0,,156.0
green,brown,green,brown,right,1.0,'right',2.53820538520813,2.53820538520813,0.0,877.7203979492188,877.7203979492188,0.0,,86.0
green,grey,green,grey,right,1.0,'right',0.8236578702926636,0.8236578702926636,0.0,1076.0279541015625,1076.0279541015625,0.0,,213.0
green,black,green,black,right,1.0,'right',0.9410890936851501,0.9410890936851501,0.0,1041.81640625,1041.81640625,0.0,,192.0
green,red,green,red,right,1.0,'right',2.538229465484619,2.538229465484619,0.0,894.4243774414062,894.4243774414062,0.0,,98.0
green,blue,green,blue,right,1.0,'right',2.0163564682006836,2.0163564682006836,0.0,789.07421875,789.07421875,0.0,,27.0
magenta,cyan,magenta,cyan,right,1.0,'right',1.2020262479782104,1.2020262479782104,0.0,844.9246215820312,844.9246215820312,0.0,,63.0
magenta,yellow,magenta,yellow,right,1.0,'right',1.2759220600128174,1.2759220600128174,0.0,765.6646118164062,765.6646118164062,0.0,,11.0
magenta,orange,magenta,orange,right,1.0,'left',1.1018898487091064,1.1018898487091064,0.0,949.2936401367188,949.2936401367188,0.0,,135.0
magenta,purple,magenta,purple,right,1.0,'left',2.0670392513275146,2.0670392513275146,0.0,802.9744873046875,802.9744873046875,0.0,,38.0
magenta,brown,magenta,brown,right,1.0,'right',1.4258966445922852,1.4258966445922852,0.0,953.1246337890625,953.1246337890625,0.0,,137.0
magenta,grey,magenta,grey,right,1.0,'right',1.432198166847229,1.432198166847229,0.0,940.0963745117188,940.0963745117188,0.0,,128.0
magenta,black,magenta,black,right,1.0,'right',0.9649397730827332,0.9649397730827332,0.0,994.8115844726562,994.8115844726562,0.0,,163.0
magenta,red,magenta,red,right,1.0,'left',1.0749927759170532,1.0749927759170532,0.0,812.0155639648438,812.0155639648438,0.0,,42.0
magenta,blue,magenta,blue,right,1.0,'right',1.918104648590088,1.918104648590088,0.0,1010.8734130859375,1010.8734130859375,0.0,,174.0
magenta,green,magenta,green,right,1.0,'right',1.241109848022461,1.241109848022461,0.0,847.3314819335938,847.3314819335938,0.0,,65.0
cyan,yellow,cyan,yellow,right,1.0,'right',2.82731032371521,2.82731032371521,0.0,829.7172241210938,829.7172241210938,0.0,,53.0
cyan,orange,cyan,orange,right,1.0,'right',1.351973056793213,1.351973056793213,0.0,1033.694580078125,1033.694580078125,0.0,,188.0
cyan,purple,cyan,purple,right,1.0,'right',2.8130853176116943,2.8130853176116943,0.0,935.4264526367188,935.4264526367188,0.0,,125.0
cyan,brown,cyan,brown,right,1.0,'right',1.396971583366394,1.396971583366394,0.0,839.5115966796875,839.5115966796875,0.0,,59.0
cyan,grey,cyan,grey,right,1.0,'right',1.8483682870864868,1.8483682870864868,0.0,866.9492797851562,866.9492797851562,0.0,,79.0
cyan,black,cyan,black,right,1.0,'right',1.8573776483535767,1.8573776483535767,0.0,821.59521484375,821.59521484375,0.0,,49.0
cyan,red,cyan,red,right,1.0,'right',1.2543437480926514,1.2543437480926514,0.0,1049.84326171875,1049.84326171875,0.0,,197.0
cyan,blue,cyan,blue,right,1.0,'right',0.9484604001045227,0.9484604001045227,0.0,1082.007080078125,1082.007080078125,0.0,,218.0
cyan,green,cyan,green,right,1.0,'right',0.9589639902114868,0.9589639902114868,0.0,978.1986083984375,978.1986083984375,0.0,,150.0
cyan,magenta,cyan,magenta,right,1.0,'right',1.238394856452942,1.238394856452942,0.0,748.8451538085938,748.8451538085938,0.0,,3.0
yellow,orange,yellow,orange,right,1.0,'right',1.221195101737976,1.221195101737976,0.0,838.2703857421875,838.2703857421875,0.0,,58.0
yellow,purple,yellow,purple,right,1.0,'right',1.2483043670654297,1.2483043670654297,0.0,988.228271484375,988.228271484375,0.0,,158.0
yellow,brown,yellow,brown,right,1.0,'right',1.1992138624191284,1.1992138624191284,0.0,797.4403076171875,797.4403076171875,0.0,,34.0
yellow,grey,yellow,grey,right,1.0,'right',1.132097601890564,1.132097601890564,0.0,820.4404907226562,820.4404907226562,0.0,,48.0
yellow,black,yellow,black,right,1.0,'right',0.979898989200592,0.979898989200592,0.0,800.1056518554688,800.1056518554688,0.0,,36.0
yellow,red,yellow,red,right,1.0,'right',2.1298928260803223,2.1298928260803223,0.0,1013.7076416015625,1013.7076416015625,0.0,,176.0
yellow,blue,yellow,blue,right,1.0,'right',2.2160017490386963,2.2160017490386963,0.0,774.174560546875,774.174560546875,0.0,,17.0
yellow,green,yellow,green,right,1.0,'right',1.3994747400283813,1.3994747400283813,0.0,833.9801635742188,833.9801635742188,0.0,,55.0
yellow,magenta,yellow,magenta,right,1.0,'right',1.6752797365188599,1.6752797365188599,0.0,1028.4013671875,1028.4013671875,0.0,,185.0
yellow,cyan,yellow,cyan,right,1.0,'right',1.0723520517349243,1.0723520517349243,0.0,796.355224609375,796.355224609375,0.0,,33.0
orange,purple,orange,purple,right,1.0,'right',1.5600347518920898,1.5600347518920898,0.0,870.3655395507812,870.3655395507812,0.0,,81.0
orange,brown,orange,brown,right,1.0,'right',1.0492457151412964,1.0492457151412964,0.0,1056.1263427734375,1056.1263427734375,0.0,,200.0
orange,grey,orange,grey,right,1.0,'right',0.9523013830184937,0.9523013830184937,0.0,946.1602783203125,946.1602783203125,0.0,,132.0
orange,black,orange,black,right,1.0,'right',0.9492092132568359,0.9492092132568359,0.0,943.5823364257812,943.5823364257812,0.0,,130.0
orange,red,orange,red,right,1.0,'right',1.5327653884887695,1.5327653884887695,0.0,868.81884765625,868.81884765625,0.0,,80.0
orange,blue,orange,blue,right,1.0,'right',1.1602897644042969,1.1602897644042969,0.0,770.7512817382812,770.7512817382812,0.0,,14.0
orange,green,orange,green,right,1.0,'right',1.5475879907608032,1.5475879907608032,0.0,753.3219604492188,753.3219604492188,0.0,,6.0
orange,magenta,orange,magenta,right,1.0,'right',1.881008267402649,1.881008267402649,0.0,1072.6685791015625,1072.6685791015625,0.0,,211.0
orange,cyan,orange,cyan,right,1.0,'right',2.2860655784606934,2.2860655784606934,0.0,768.4525146484375,768.4525146484375,0.0,,13.0
orange,yellow,orange,yellow,right,1.0,'right',1.4951963424682617,1.4951963424682617,0.0,859.5093383789062,859.5093383789062,0.0,,73.0
purple,brown,purple,brown,right,1.0,'right',1.0272854566574097,1.0272854566574097,0.0,1057.197265625,1057.197265625,0.0,,201.0
purple,grey,purple,grey,right,1.0,'right',0.9233787059783936,0.9233787059783936,0.0,1042.7811279296875,1042.7811279296875,0.0,,193.0
purple,black,purple,black,right,1.0,'right',1.9508061408996582,1.9508061408996582,0.0,1077.74267578125,1077.74267578125,0.0,,215.0
purple,red,purple,red,right,1.0,'right',1.8460328578948975,1.8460328578948975,0.0,787.20654296875,787.20654296875,0.0,,26.0
purple,blue,purple,blue,right,1.0,'left',2.5030927658081055,2.5030927658081055,0.0,932.9024658203125,932.9024658203125,0.0,,124.0
purple,green,purple,green,right,1.0,'right',1.2008552551269531,1.2008552551269531,0.0,896.9857177734375,896.9857177734375,0.0,,99.0
purple,magenta,purple,magenta,right,1.0,'right',0.9692276120185852,0.9692276120185852,0.0,777.5573120117188,777.5573120117188,0.0,,19.0
purple,cyan,purple,cyan,right,1.0,'right',1.0030649900436401,1.0030649900436401,0.0,947.1325073242188,947.1325073242188,0.0,,133.0
purple,yellow,purple,yellow,right,1.0,'right',1.5832675695419312,1.5832675695419312,0.0,944.5542602539062,944.5542602539062,0.0,,131.0
purple,orange,purple,orange,right,1.0,'right',1.2125240564346313,1.2125240564346313,0.0,781.08203125,781.08203125,0.0,,22.0
brown,grey,brown,grey,right,1.0,'right',0.9378817081451416,0.9378817081451416,0.0,931.9447021484375,931.9447021484375,0.0,,123.0
brown,black,brown,black,right,1.0,'right',1.5839753150939941,1.5839753150939941,0.0,747.2395629882812,747.2395629882812,0.0,,2.0
brown,red,brown,red,right,1.0,'right',1.5520811080932617,1.5520811080932617,0.0,913.219482421875,913.219482421875,0.0,,111.0
brown,blue,brown,blue,right,1.0,'right',1.5484281778335571,1.5484281778335571,0.0,817.8165893554688,817.8165893554688,0.0,,46.0
brown,green,brown,green,right,1.0,'right',3.557047128677368,3.557047128677368,0.0,1035.064453125,1035.064453125,0.0,,189.0
brown,magenta,brown,magenta,right,1.0,'right',1.1059770584106445,1.1059770584106445,0.0,843.796630859375,843.796630859375,0.0,,62.0
brown,cyan,brown,cyan,right,1.0,'right',1.4224807024002075,1.4224807024002075,0.0,798.6621704101562,798.6621704101562,0.0,,35.0
brown,yellow,brown,yellow,right,1.0,'right',1.153061866760254,1.153061866760254,0.0,884.6845092773438,884.6845092773438,0.0,,91.0
brown,orange,brown,orange,right,1.0,'right',1.6050788164138794,1.6050788164138794,0.0,916.0364990234375,916.0364990234375,0.0,,113.0
brown,purple,brown,purple,right,1.0,'right',1.3141288757324219,1.3141288757324219,0.0,981.1824340820312,981.1824340820312,0.0,,153.0
grey,black,grey,black,right,1.0,'right',1.1230911016464233,1.1230911016464233,0.0,776.408447265625,776.408447265625,0.0,,18.0
grey,red,grey,red,right,1.0,'right',0.9909783005714417,0.9909783005714417,0.0,880.278564453125,880.278564453125,0.0,,87.0
grey,blue,grey,blue,right,1.0,'right',1.3912525177001953,1.3912525177001953,0.0,832.5673217773438,832.5673217773438,0.0,,54.0
grey,green,grey,green,right,1.0,'right',1.1948528289794922,1.1948528289794922,0.0,752.1098022460938,752.1098022460938,0.0,,5.0
grey,magenta,grey,magenta,right,1.0,'right',1.0832700729370117,1.0832700729370117,0.0,904.6262817382812,904.6262817382812,0.0,,105.0
grey,cyan,grey,cyan,right,1.0,'right',1.011326551437378,1.011326551437378,0.0,928.9722290039062,928.9722290039062,0.0,,121.0
grey,yellow,grey,yellow,right,1.0,'right',0.9004397988319397,0.9004397988319397,0.0,861.025146484375,861.025146484375,0.0,,74.0
grey,orange,grey,orange,right,1.0,'right',1.002057433128357,1.002057433128357,0.0,1044.987548828125,1044.987548828125,0.0,,195.0
grey,purple,grey,purple,right,1.0,'right',1.5492031574249268,1.5492031574249268,0.0,885.857421875,885.857421875,0.0,,92.0
grey,brown,grey,brown,right,1.0,'right',2.166083574295044,2.166083574295044,0.0,920.0654907226562,920.0654907226562,0.0,,116.0
black,red,black,red,right,1.0,'right',1.1133486032485962,1.1133486032485962,0.0,948.1561889648438,948.1561889648438,0.0,,134.0
black,blue,black,blue,right,1.0,'right',1.9431997537612915,1.9431997537612915,0.0,823.4703369140625,823.4703369140625,0.0,,50.0
black,green,black,green,right,1.0,'right',1.43532133102417,1.43532133102417,0.0,1074.5712890625,1074.5712890625,0.0,,212.0
black,magenta,black,magenta,right,1.0,'right',1.9830232858657837,1.9830232858657837,0.0,750.1046142578125,750.1046142578125,0.0,,4.0
black,cyan,black,cyan,right,1.0,'right',1.2091490030288696,1.2091490030288696,0.0,1020.3843994140625,1020.3843994140625,0.0,,180.0
black,yellow,black,yellow,right,1.0,'right',2.5621402263641357,2.5621402263641357,0.0,975.6184692382812,975.6184692382812,0.0,,149.0
black,orange,black,orange,right,1.0,'right',1.919123649597168,1.919123649597168,0.0,930.0044555664062,930.0044555664062,0.0,,122.0
black,purple,black,purple,right,1.0,'right',1.952279806137085,1.952279806137085,0.0,1070.6953125,1070.6953125,0.0,,210.0
black,brown,black,brown,right,1.0,'right',1.001056432723999,1.001056432723999,0.0,965.4044799804688,965.4044799804688,0.0,,143.0
black,grey,black,grey,right,1.0,'right',0.86141437292099,0.86141437292099,0.0,1055.2401123046875,1055.2401123046875,0.0,,199.0
red,blue,blue,red,left,1.0,'left',1.0115220546722412,1.0115220546722412,0.0,835.4000854492188,835.4000854492188,0.0,,56.0
red,green,green,red,left,1.0,'left',3.707231283187866,3.707231283187866,0.0,805.059326171875,805.059326171875,0.0,,39.0
red,magenta,magenta,red,left,1.0,'left',1.5217084884643555,1.5217084884643555,0.0,1015.8571166992188,1015.8571166992188,0.0,,177.0
red,cyan,cyan,red,left,1.0,'left',1.1271030902862549,1.1271030902862549,0.0,907.5704345703125,907.5704345703125,0.0,,108.0
red,yellow,yellow,red,left,1.0,'left',1.5015078783035278,1.5015078783035278,0.0,924.6890258789062,924.6890258789062,0.0,,119.0
red,orange,orange,red,left,1.0,'left',1.1524697542190552,1.1524697542190552,0.0,1023.0501098632812,1023.0501098632812,0.0,,182.0
red,purple,purple,red,left,1.0,'left',1.356281042098999,1.356281042098999,0.0,782.3092651367188,782.3092651367188,0.0,,23.0
red,brown,brown,red,left,1.0,'left',0.9821912050247192,0.9821912050247192,0.0,903.619384765625,903.619384765625,0.0,,104.0
red,grey,grey,red,left,1.0,'right',0.8100773096084595,0.8100773096084595,0.0,893.5974731445312,893.5974731445312,0.0,,97.0
red,black,black,red,left,1.0,'left',1.1190614700317383,1.1190614700317383,0.0,882.0665283203125,882.0665283203125,0.0,,89.0
blue,green,green,blue,left,1.0,'left',0.8671721816062927,0.8671721816062927,0.0,794.472412109375,794.472412109375,0.0,,31.0
blue,magenta,magenta,blue,left,1.0,'left',1.4590611457824707,1.4590611457824707,0.0,883.20654296875,883.20654296875,0.0,,90.0
blue,cyan,cyan,blue,left,1.0,'left',2.7353875637054443,2.7353875637054443,0.0,926.2131958007812,926.2131958007812,0.0,,120.0
blue,yellow,yellow,blue,left,1.0,'left',0.9390702843666077,0.9390702843666077,0.0,906.6145629882812,906.6145629882812,0.0,,107.0
