Tick,Color,n,sound_1.started_mean,sound_1.started_raw,sound_1.started_std,sound_1.stopped_raw,order
2,green,1.0,425.81842041015625,425.81842041015625,0.0,,0.0
3,green,1.0,426.7909240722656,426.7909240722656,0.0,,1.0
4,green,1.0,427.7906494140625,427.7906494140625,0.0,,2.0
5,green,1.0,428.7900085449219,428.7900085449219,0.0,,3.0
6,green,1.0,429.7902526855469,429.7902526855469,0.0,,4.0
7,green,1.0,430.7900085449219,430.7900085449219,0.0,,5.0
8,green,1.0,431.78973388671875,431.78973388671875,0.0,,6.0
9,green,1.0,432.7891845703125,432.7891845703125,0.0,433.28880979999667,7.0
10,green,1.0,433.7922668457031,433.7922668457031,0.0,,8.0
11,green,1.0,434.7872314453125,434.7872314453125,0.0,435.28691960001015,9.0
12,green,1.0,435.7923278808594,435.7923278808594,0.0,,10.0
13,green,1.0,436.79034423828125,436.79034423828125,0.0,,11.0
14,green,1.0,437.78704833984375,437.78704833984375,0.0,438.286769600003,12.0
15,green,1.0,438.7887878417969,438.7887878417969,0.0,,13.0
16,green,1.0,439.78875732421875,439.78875732421875,0.0,,14.0
17,green,1.0,440.7882080078125,440.7882080078125,0.0,441.28783780001686,15.0
18,green,1.0,441.7950439453125,441.7950439453125,0.0,,16.0
19,green,1.0,442.7949523925781,442.7949523925781,0.0,,17.0
20,green,1.0,443.79498291015625,443.79498291015625,0.0,,18.0
21,green,1.0,444.79443359375,444.79443359375,0.0,,19.0
22,green,1.0,445.7951965332031,445.7951965332031,0.0,,20.0
23,green,1.0,446.7902526855469,446.7902526855469,0.0,,21.0
24,green,1.0,447.7896728515625,447.7896728515625,0.0,,22.0
25,green,1.0,448.7868347167969,448.7868347167969,0.0,449.286692099995,23.0
26,green,1.0,449.7887268066406,449.7887268066406,0.0,450.28837990001193,24.0
27,green,1.0,450.7950744628906,450.7950744628906,0.0,,25.0
28,green,1.0,451.7954406738281,451.7954406738281,0.0,,26.0
29,green,1.0,452.7952575683594,452.7952575683594,0.0,,27.0
30,green,1.0,453.7951354980469,453.7951354980469,0.0,,28.0
31,green,1.0,454.79022216796875,454.79022216796875,0.0,,29.0
32,green,1.0,455.7901611328125,455.7901611328125,0.0,,30.0
33,green,1.0,456.790283203125,456.790283203125,0.0,,31.0
34,green,1.0,457.79010009765625,457.79010009765625,0.0,,32.0
35,green,1.0,458.7911071777344,458.7911071777344,0.0,,33.0
36,green,1.0,459.792236328125,459.792236328125,0.0,,34.0
37,green,1.0,460.7872009277344,460.7872009277344,0.0,461.28682209999533,35.0
38,green,1.0,461.7947692871094,461.7947692871094,0.0,,36.0
39,green,1.0,462.79449462890625,462.79449462890625,0.0,,37.0
40,green,1.0,463.79461669921875,463.79461669921875,0.0,,38.0
41,green,1.0,464.79248046875,464.79248046875,0.0,,39.0
42,green,1.0,465.7938232421875,465.7938232421875,0.0,,40.0
43,green,1.0,466.7933044433594,466.7933044433594,0.0,,41.0
44,green,1.0,467.7937927246094,467.7937927246094,0.0,,42.0
45,green,1.0,468.7933349609375,468.7933349609375,0.0,,43.0
46,green,1.0,469.79315185546875,469.79315185546875,0.0,,44.0
47,green,1.0,470.7933349609375,470.7933349609375,0.0,,45.0
48,green,1.0,471.7945861816406,471.7945861816406,0.0,,46.0
49,green,1.0,472.78936767578125,472.78936767578125,0.0,,47.0
50,green,1.0,473.78582763671875,473.78582763671875,0.0,474.2855108999938,48.0
51,green,1.0,474.78826904296875,474.78826904296875,0.0,475.2878395000007,49.0
52,green,1.0,475.79498291015625,475.79498291015625,0.0,,50.0
53,green,1.0,476.7948913574219,476.7948913574219,0.0,,51.0
54,green,1.0,477.7891540527344,477.7891540527344,0.0,478.28873279999243,52.0
55,green,1.0,478.7899169921875,478.7899169921875,0.0,,53.0
56,green,1.0,479.78955078125,479.78955078125,0.0,,54.0
57,green,1.0,480.790283203125,480.790283203125,0.0,,55.0
58,green,1.0,481.7915344238281,481.7915344238281,0.0,,56.0
59,green,1.0,482.7911071777344,482.7911071777344,0.0,,57.0
60,green,1.0,483.7873840332031,483.7873840332031,0.0,484.2872239999997,58.0
61,green,1.0,484.7913818359375,484.7913818359375,0.0,,59.0
62,green,1.0,485.7893371582031,485.7893371582031,0.0,,60.0
63,green,1.0,486.7864990234375,486.7864990234375,0.0,487.2866018000059,61.0
64,green,1.0,487.78851318359375,487.78851318359375,0.0,488.28820500001893,62.0
65,green,1.0,488.7952575683594,488.7952575683594,0.0,,63.0
66,green,1.0,489.794921875,489.794921875,0.0,,64.0
67,green,1.0,490.7889709472656,490.7889709472656,0.0,,65.0
68,green,1.0,491.7886962890625,491.7886962890625,0.0,,66.0
69,green,1.0,492.7880554199219,492.7880554199219,0.0,493.2877376000106,67.0
70,green,1.0,493.7894287109375,493.7894287109375,0.0,,68.0
71,green,1.0,494.7893371582031,494.7893371582031,0.0,,69.0
72,green,1.0,495.78594970703125,495.78594970703125,0.0,496.2856214000203,70.0
73,green,1.0,496.7926940917969,496.7926940917969,0.0,,71.0
74,green,1.0,497.7926025390625,497.7926025390625,0.0,,72.0
75,green,1.0,498.7904968261719,498.7904968261719,0.0,,73.0
76,green,1.0,499.7878112792969,499.7878112792969,0.0,500.2875262000016,74.0
77,green,1.0,500.7942199707031,500.7942199707031,0.0,,75.0
78,green,1.0,501.79400634765625,501.79400634765625,0.0,,76.0
79,green,1.0,502.7939147949219,502.7939147949219,0.0,,77.0
80,green,1.0,503.7938537597656,503.7938537597656,0.0,,78.0
81,green,1.0,504.7939147949219,504.7939147949219,0.0,,79.0
82,green,1.0,505.7937927246094,505.7937927246094,0.0,,80.0
83,green,1.0,506.7940673828125,506.7940673828125,0.0,,81.0
84,green,1.0,507.7915954589844,507.7915954589844,0.0,,82.0
85,green,1.0,508.7863464355469,508.7863464355469,0.0,509.28614750001,83.0
86,green,1.0,509.7942810058594,509.7942810058594,0.0,,84.0
87,green,1.0,510.7937927246094,510.7937927246094,0.0,,85.0
88,green,1.0,511.7939758300781,511.7939758300781,0.0,,86.0
89,green,1.0,512.7950439453125,512.7950439453125,0.0,,87.0
90,green,1.0,513.7948608398438,513.7948608398438,0.0,,88.0
91,green,1.0,514.7957153320312,514.7957153320312,0.0,,89.0
92,green,1.0,515.7900390625,515.7900390625,0.0,,90.0
93,green,1.0,516.7854614257812,516.7854614257812,0.0,517.2852780999965,91.0
94,green,1.0,517.7920532226562,517.7920532226562,0.0,,92.0
95,green,1.0,518.7890625,518.7890625,0.0,,93.0
96,green,1.0,519.7902221679688,519.7902221679688,0.0,,94.0
97,green,1.0,520.7896728515625,520.7896728515625,0.0,,95.0
98,green,1.0,521.7896728515625,521.7896728515625,0.0,,96.0
99,green,1.0,522.7891845703125,522.7891845703125,0.0,,97.0
100,green,1.0,523.7888793945312,523.7888793945312,0.0,,98.0
101,green,1.0,524.7909545898438,524.7909545898438,0.0,,99.0
102,green,1.0,525.7862548828125,525.7862548828125,0.0,526.2859399000008,100.0
103,green,1.0,526.7942504882812,526.7942504882812,0.0,,101.0
104,green,1.0,527.7943115234375,527.7943115234375,0.0,,102.0
105,green,1.0,528.7938232421875,528.7938232421875,0.0,,103.0
106,green,1.0,529.7910766601562,529.7910766601562,0.0,,104.0
107,green,1.0,530.791748046875,530.791748046875,0.0,,105.0
108,green,1.0,531.7913818359375,531.7913818359375,0.0,,106.0
109,green,1.0,532.792236328125,532.792236328125,0.0,,107.0
110,green,1.0,533.7897338867188,533.7897338867188,0.0,,108.0
111,green,1.0,534.791259765625,534.791259765625,0.0,,109.0
112,green,1.0,535.7861938476562,535.7861938476562,0.0,536.2858316000202,110.0
113,green,1.0,536.792236328125,536.792236328125,0.0,,111.0
114,green,1.0,537.7924194335938,537.7924194335938,0.0,,112.0
115,green,1.0,538.7920532226562,538.7920532226562,0.0,,113.0
116,green,1.0,539.7923583984375,539.7923583984375,0.0,,114.0
117,green,1.0,540.791748046875,540.791748046875,0.0,,115.0
118,green,1.0,541.79150390625,541.79150390625,0.0,,116.0
119,green,1.0,542.791015625,542.791015625,0.0,,117.0
120,green,1.0,543.7919921875,543.7919921875,0.0,,118.0
121,green,1.0,544.7921142578125,544.7921142578125,0.0,,119.0
122,green,1.0,545.7877197265625,545.7877197265625,0.0,546.2873527000193,120.0
123,green,1.0,546.7914428710938,546.7914428710938,0.0,,121.0
124,green,1.0,547.7904663085938,547.7904663085938,0.0,,122.0
125,green,1.0,548.7880859375,548.7880859375,0.0,549.2878818000027,123.0
126,green,1.0,549.7948608398438,549.7948608398438,0.0,,124.0
127,green,1.0,550.794677734375,550.794677734375,0.0,,125.0
128,green,1.0,551.7949829101562,551.7949829101562,0.0,,126.0
129,green,1.0,552.7892456054688,552.7892456054688,0.0,,127.0
130,green,1.0,553.7841796875,553.7841796875,0.0,554.2840306000144,128.0
131,green,1.0,554.7905883789062,554.7905883789062,0.0,,129.0
132,green,1.0,555.7891845703125,555.7891845703125,0.0,,130.0
133,green,1.0,556.7859497070312,556.7859497070312,0.0,557.285862699995,131.0
134,green,1.0,557.7886352539062,557.7886352539062,0.0,,132.0
135,green,1.0,558.7881469726562,558.7881469726562,0.0,559.2880011000088,133.0
136,green,1.0,559.7896728515625,559.7896728515625,0.0,,134.0
137,green,1.0,560.7893676757812,560.7893676757812,0.0,,135.0
138,green,1.0,561.789306640625,561.789306640625,0.0,,136.0
139,green,1.0,562.7891845703125,562.7891845703125,0.0,563.2888445999997,137.0
140,green,1.0,563.7955322265625,563.7955322265625,0.0,,138.0
141,green,1.0,564.795166015625,564.795166015625,0.0,,139.0
142,green,1.0,565.7933959960938,565.7933959960938,0.0,,140.0
143,green,1.0,566.7913208007812,566.7913208007812,0.0,,141.0
144,green,1.0,567.7899780273438,567.7899780273438,0.0,,142.0
145,green,1.0,568.7864379882812,568.7864379882812,0.0,569.2862220999959,143.0
146,green,1.0,569.79345703125,569.79345703125,0.0,,144.0
147,green,1.0,570.7931518554688,570.7931518554688,0.0,,145.0
148,green,1.0,571.7940063476562,571.7940063476562,0.0,,146.0
149,green,1.0,572.7938232421875,572.7938232421875,0.0,,147.0
150,green,1.0,573.7933959960938,573.7933959960938,0.0,,148.0
151,green,1.0,574.7932739257812,574.7932739257812,0.0,,149.0
