feature,value
gsr_min_ma,0.13860042352941176
gsr_max_ma,0.3399703411764706
gsr_mean_ma,0.2928333586769287
gsr_sd_ma,0.02543048465673499
gsr_min_corr_ma,-0.03819686309803921
gsr_max_corr_ma,0.16317305454901965
gsr_mean_corr_ma,0.11603607204947773
gsr_sd_corr_ma,0.02543048465673499
gsr_baseline_mean_ma,0.17679728662745098
gsr_min_zf,0.2571478086357799
gsr_max_zf,0.3428536331298954
gsr_mean_zf,0.29382756448560915
gsr_sd_zf,0.023952809088746307
gsr_min_corr_zf,0.07972341082320455
gsr_max_corr_zf,0.16542923531732007
gsr_mean_corr_zf,0.1164031666730338
gsr_sd_corr_zf,0.023952809088746307
gsr_baseline_mean_zf,0.17742439781257535
arousal,7.0
valence,4.75
