feature,value
gsr_min_ma,0.21186240588235294
gsr_max_ma,1.0737899411764706
gsr_mean_ma,0.6701965055398063
gsr_sd_ma,0.1750313228503162
gsr_min_corr_ma,0.035065119254901966
gsr_max_corr_ma,0.8969926545490197
gsr_mean_corr_ma,0.4933992189123553
gsr_sd_corr_ma,0.1750313228503162
gsr_baseline_mean_ma,0.17679728662745098
gsr_min_zf,0.36924405252894177
gsr_max_zf,1.1041991893650567
gsr_mean_zf,0.6714571460486194
gsr_sd_zf,0.17471854013855911
gsr_min_corr_zf,0.19181965471636642
gsr_max_corr_zf,0.9267747915524813
gsr_mean_corr_zf,0.49403274823604404
gsr_sd_corr_zf,0.17471854013855911
gsr_baseline_mean_zf,0.17742439781257535
stress level,2.0
difficulty level,3.0
