p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,0,0,9,,,,,,,,,,,,,2019-09-27_16:44:36,2019-09-27_16:45:17,174.75813120009843,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,2071,baby smiling,.jpg,Resources\Pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,1,1,31,,,,,,,,,,,,,,,184.6776552000083,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,1601,man feeding giraffe,.jpg,Resources\Pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,2,2,27,,,,,,,,,,,,,,,194.67775240004994,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,204.6927232000744,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,4,4,29,,,,,,,,,,,,,,,214.67299670004286,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,224.6737945000641,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,234.69158060010523,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,244.68352850002702,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,8,8,24,,,,,,,,,,,,,,,254.67893680010457,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,2332,girl and dog,.jpg,Resources\Pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",,,,,,,,,,,,0,9,9,14,,,,,,,,,,,,,,,264.6700631000567,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,10,10,16,,,,,,,,,,,,,,,274.68171140004415,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,11,11,25,,,,,,,,,,,,,,,284.6820940000471,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,12,12,28,,,,,,,,,,,,,,,294.6707943000365,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,5831,father and son beach,.jpg,Resources\Pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,13,13,19,,,,,,,,,,,,,,,304.68962070008274,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,14,14,22,,,,,,,,,,,,,,,314.68611230002716,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
Resources\Pictures\,Positive\,5760,flowers,.jpg,Resources\Pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,324.6938551000785,None,,,,,,,,,,,,,,,,,,,,,,,ap,003,2019_Sep_27_1644,EmotionSession,3.2.3,59.94341343345389,
