feature,value
gsr_min_ma,0.13633105882352942
gsr_max_ma,0.5389964647058824
gsr_mean_ma,0.3618004650785934
gsr_sd_ma,0.10862640568634815
gsr_min_corr_ma,-0.09000892647058822
gsr_max_corr_ma,0.3126564794117647
gsr_mean_corr_ma,0.13546047978447578
gsr_sd_corr_ma,0.10862640568634815
gsr_baseline_mean_ma,0.22633998529411764
gsr_min_zf,0.19901555788040204
gsr_max_zf,0.560789312747984
gsr_mean_zf,0.3629119102703024
gsr_sd_zf,0.10868459319788187
gsr_min_corr_zf,-0.028097209420245323
gsr_max_corr_zf,0.3336765454473367
gsr_mean_corr_zf,0.13579914296965503
gsr_sd_corr_zf,0.10868459319788189
gsr_baseline_mean_zf,0.22711276730064736
stress level,2.0
difficulty level,3.0
