n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,1022.0,snake close up,.jpg,Resources\Pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,40.222999572753906,40.222999572753906,0.0,1.0,1.0,0.0,9.081000328063965,9.081000328063965,0.0,1675.9534912109375,1675.9534912109375,0.0,,0.0
Resources\Pictures\,Negative\,1240.0,spider,.jpg,Resources\Pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,2.7739999294281006,2.7739999294281006,0.0,1.0,1.0,0.0,1.9509999752044678,1.9509999752044678,0.0,1688.908935546875,1688.908935546875,0.0,,1.0
Resources\Pictures\,Negative\,1300.0,dog threat 1,.jpg,Resources\Pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,20.690000534057617,20.690000534057617,0.0,4.0,4.0,0.0,8.506999969482422,8.506999969482422,0.0,1712.6641845703125,1712.6641845703125,0.0,,2.0
Resources\Pictures\,Negative\,1302.0, dog threat 2,.jpg,Resources\Pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,8.456000328063965,8.456000328063965,0.0,6.0,6.0,0.0,6.34499979019165,6.34499979019165,0.0,1730.739501953125,1730.739501953125,0.0,,3.0
Resources\Pictures\,Negative\,2206.0,fingerprints,.jpg,Resources\Pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,8.006999969482422,8.006999969482422,0.0,4.0,4.0,0.0,5.540999889373779,5.540999889373779,0.0,1746.2066650390625,1746.2066650390625,0.0,,4.0
Resources\Pictures\,Negative\,2276.0,child crying,.jpg,Resources\Pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.110000133514404,5.110000133514404,0.0,1.0,1.0,0.0,6.2769999504089355,6.2769999504089355,0.0,1757.9671630859375,1757.9671630859375,0.0,,5.0
Resources\Pictures\,Negative\,2278.0,poor children,.jpg,Resources\Pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,3.8889999389648438,3.8889999389648438,0.0,1.0,1.0,0.0,6.752999782562256,6.752999782562256,0.0,1769.255615234375,1769.255615234375,0.0,,6.0
Resources\Pictures\,Negative\,2375.1,famine,.jpg,Resources\Pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,4.441999912261963,4.441999912261963,0.0,1.0,1.0,0.0,3.365000009536743,3.365000009536743,0.0,1781.55712890625,1781.55712890625,0.0,,7.0
Resources\Pictures\,Negative\,2399.0,headache,.jpg,Resources\Pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,5.461999893188477,5.461999893188477,0.0,4.0,4.0,0.0,1.996999979019165,1.996999979019165,0.0,1791.4896240234375,1791.4896240234375,0.0,,8.0
Resources\Pictures\,Negative\,2410.0,math problem,.jpg,Resources\Pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.491000175476074,7.491000175476074,0.0,5.0,5.0,0.0,6.942999839782715,6.942999839782715,0.0,1802.0902099609375,1802.0902099609375,0.0,,9.0
