p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,32.125,32.125,0.0,7.0,7.0,0.0,15.223999977111816,15.223999977111816,0.0,0.0
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,8.687999725341797,8.687999725341797,0.0,5.0,5.0,0.0,4.172999858856201,4.172999858856201,0.0,1.0
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,7.35699987411499,7.35699987411499,0.0,7.0,7.0,0.0,4.078999996185303,4.078999996185303,0.0,2.0
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,3.259000062942505,3.259000062942505,0.0,7.0,7.0,0.0,2.1080000400543213,2.1080000400543213,0.0,3.0
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,2.36899995803833,2.36899995803833,0.0,7.0,7.0,0.0,2.0739998817443848,2.0739998817443848,0.0,4.0
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,22.886999130249023,22.886999130249023,0.0,3.0,3.0,0.0,5.693999767303467,5.693999767303467,0.0,5.0
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,8.440999984741211,8.440999984741211,0.0,4.0,4.0,0.0,3.1410000324249268,3.1410000324249268,0.0,6.0
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,4.926000118255615,4.926000118255615,0.0,5.0,5.0,0.0,3.98799991607666,3.98799991607666,0.0,7.0
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,20.08799934387207,20.08799934387207,0.0,7.0,7.0,0.0,2.6110000610351562,2.6110000610351562,0.0,8.0
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,8.057000160217285,8.057000160217285,0.0,7.0,7.0,0.0,3.2679998874664307,3.2679998874664307,0.0,9.0
