feature,value
gsr_min_ma,1.0682440588235296
gsr_max_ma,6.780507764705882
gsr_mean_ma,3.8388256389215685
gsr_sd_ma,1.3206886190489808
gsr_min_corr_ma,0.8478866531862747
gsr_max_corr_ma,6.5601503590686265
gsr_mean_corr_ma,3.6184682332843137
gsr_sd_corr_ma,1.3206886190489806
gsr_baseline_mean_ma,0.2203574056372549
gsr_min_zf,2.00998635635648
gsr_max_zf,7.003780644499145
gsr_mean_zf,3.8545896957539023
gsr_sd_zf,1.3322702243149882
gsr_min_corr_zf,1.7887226519597794
gsr_max_corr_zf,6.782516940102444
gsr_mean_corr_zf,3.633325991357202
gsr_sd_corr_zf,1.3322702243149882
gsr_baseline_mean_zf,0.22126370439670062
stress level,2.0
