p_path	p_weight	p_name	p_description	p_type	p_pictures	p_pic_width	p_pic_height	p_new_width	p_new_height	p_new_size	n_path	n_weight	n_name	n_description	n_type	n_pictures	n_pic_width	n_pic_height	n_new_width	n_new_height	n_new_size	emotion_trials_p.thisRepN	emotion_trials_p.thisTrialN	emotion_trials_p.thisN	emotion_trials_p.thisIndex	emotion_evaluation_p.thisRepN	emotion_evaluation_p.thisTrialN	emotion_evaluation_p.thisN	emotion_evaluation_p.thisIndex	emotion_trials_n.thisRepN	emotion_trials_n.thisTrialN	emotion_trials_n.thisN	emotion_trials_n.thisIndex	emotion_evaluation_n.thisRepN	emotion_evaluation_n.thisTrialN	emotion_evaluation_n.thisN	emotion_evaluation_n.thisIndex	start_session_three	start_emotion_one	image_emotion_p.started	image_emotion_p.stopped	end_emotion_one	rating_emotion_p_eval_o.response	rating_emotion_p_eval_o.rt	rating_emotion_p_eval_t.response	rating_emotion_p_eval_t.rt	key_resp_cooldown_instructions.keys	key_resp_cooldown_instructions.rt	start_cooldown_measurement	end_cooldown_measurement	rating_cooldown_evaluation.response	rating_cooldown_evaluation.rt	start_emotion_two	image_emotion_n.started	image_emotion_n.stopped	end_emotion_two	rating_emotion_n_eval_o.response	rating_emotion_n_eval_o.rt	text_emotion_n_eval_t.started	text_emotion_n_eval_t.stopped	rating_emotion_n_eval_t.response	rating_emotion_n_eval_t.rt	end_session_three	participant	session	date	expName	psychopyVersion	frameRate
Resources\Pictures\	Positive\	2010	smiling man 2	.jpg	Resources\Pictures\Positive\2010.jpg	1024	768	1.9	1	(1.9, 1)												0	0	0	29													2019-10-08_11:31:40	2019-10-08_11:32:28	62.10099622	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2057	sitting baby	.jpg	Resources\Pictures\Positive\2057.jpg	1024	768	1.9	1	(1.9, 1)												0	1	1	8															72.00825344	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2332	girl and dog	.jpg	Resources\Pictures\Positive\2332.jpg	800	600	2.2	1	(2.2, 1)												0	2	2	14															81.99449558	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	8497	family on rollercoaster	.jpg	Resources\Pictures\Positive\8497.jpg	1024	768	1.9	1	(1.9, 1)												0	3	3	26															91.99669675	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1750	rabit	.jpg	Resources\Pictures\Positive\1750.jpg	1024	768	1.9	1	(1.9, 1)												0	4	4	4															101.9876595	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1601	man feeding giraffe	.jpg	Resources\Pictures\Positive\1601.jpg	1024	768	1.9	1	(1.9, 1)												0	5	5	27															111.9815394	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	4626	marriage scene	.jpg	Resources\Pictures\Positive\4626.jpg	1024	768	1.9	1	(1.9, 1)												0	6	6	17															121.9730291	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1710	three dogs	.jpg	Resources\Pictures\Positive\1710.jpg	1024	768	1.9	1	(1.9, 1)												0	7	7	3															131.9641604	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1811	group of apes	.jpg	Resources\Pictures\Positive\1811.jpg	1024	768	1.9	1	(1.9, 1)												0	8	8	5															141.9537434	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2071	baby smiling	.jpg	Resources\Pictures\Positive\2071.jpg	1024	768	1.9	1	(1.9, 1)												0	9	9	31															151.9411025	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2154	father and son	.jpg	Resources\Pictures\Positive\2154.jpg	1024	768	1.9	1	(1.9, 1)												0	10	10	11															161.9321263	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1440	seal	.jpg	Resources\Pictures\Positive\1440.jpg	1024	768	1.9	1	(1.9, 1)												0	11	11	0															171.9288282	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1340	women and parrots	.jpg	Resources\Pictures\Positive\1340.jpg	1024	768	1.9	1	(1.9, 1)												0	12	12	21															181.9288909	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2550	happy elderly couple	.jpg	Resources\Pictures\Positive\2550.jpg	1024	768	1.9	1	(1.9, 1)												0	13	13	15															191.9185438	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2655	boy and dog	.jpg	Resources\Pictures\Positive\2655.jpg	1024	768	1.9	1	(1.9, 1)												0	14	14	16															201.9081579	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	8330	women and trophy	.jpg	Resources\Pictures\Positive\8330.jpg	1024	768	1.9	1	(1.9, 1)												0	15	15	24															211.8964493	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2091	children and kitten	.jpg	Resources\Pictures\Positive\2091.jpg	1024	768	1.9	1	(1.9, 1)												0	16	16	10															221.8892523	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2311	mother daughter	.jpg	Resources\Pictures\Positive\2311.jpg	1024	768	1.8	1	(1.8, 1)												0	17	17	13															231.8861547	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2005	smiling man	.jpg	Resources\Pictures\Positive\2005.jpg	1024	768	1.9	1	(1.9, 1)												0	18	18	28															241.8663681	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	5760	flowers	.jpg	Resources\Pictures\Positive\5760.jpg	1024	768	1.9	1	(1.9, 1)												0	19	19	18															251.8780353	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	7502	disney land	.jpg	Resources\Pictures\Positive\7502.jpg	1024	768	1.9	1	(1.9, 1)												0	20	20	23															261.8594825	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1463	group of cats	.jpg	Resources\Pictures\Positive\1463.jpg	1024	768	1.9	1	(1.9, 1)												0	21	21	2															271.8523704	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	8380	team medals	.jpg	Resources\Pictures\Positive\8380.jpg	1024	768	1.9	1	(1.9, 1)												0	22	22	25															281.8470687	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	5831	father and son beach	.jpg	Resources\Pictures\Positive\5831.jpg	1024	768	1.9	1	(1.9, 1)												0	23	23	19															291.8374537	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2070	baby suprise	.jpg	Resources\Pictures\Positive\2070.jpg	1024	768	1.9	1	(1.9, 1)												0	24	24	9															301.8196686	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1460	tiger cub	.jpg	Resources\Pictures\Positive\1460.jpg	1024	768	1.9	1	(1.9, 1)												0	25	25	1															311.8259939	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2040	baby on belly	.jpg	Resources\Pictures\Positive\2040.jpg	1024	768	1.9	1	(1.9, 1)												0	26	26	7															321.8087847	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1942	group of turtles	.jpg	Resources\Pictures\Positive\1942.jpg	1024	768	1.9	1	(1.9, 1)												0	27	27	6															331.8044357	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2304	smiling girl	.jpg	Resources\Pictures\Positive\2304.jpg	1024	768	1.8	1	(1.8, 1)												0	28	28	12															341.7842057	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	5833	sunny beach	.jpg	Resources\Pictures\Positive\5833.jpg	1024	768	1.9	1	(1.9, 1)												0	29	29	20															351.7888991	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	7325	girl and watermelon	.jpg	Resources\Pictures\Positive\7325.jpg	1024	768	1.9	1	(1.9, 1)												0	30	30	22															361.7737366	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2058	baby holding hand	.jpg	Resources\Pictures\Positive\2058.jpg	1024	768	1.9	1	(1.9, 1)												0	31	31	30															371.7661023	None																							es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1440	seal	.jpg	Resources\Pictures\Positive\1440.jpg	1024	768	1.9	1	(1.9, 1)																0	0	0	0													2019-10-08_11:37:49	8	46.181	7	16.904																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1460	tiger cub	.jpg	Resources\Pictures\Positive\1460.jpg	1024	768	1.9	1	(1.9, 1)																0	1	1	1														8	6.841	7	2.811																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1463	group of cats	.jpg	Resources\Pictures\Positive\1463.jpg	1024	768	1.9	1	(1.9, 1)																0	2	2	2														8	6.127	7	1.698																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1710	three dogs	.jpg	Resources\Pictures\Positive\1710.jpg	1024	768	1.9	1	(1.9, 1)																0	3	3	3														8	4.696	7	1.682																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1750	rabit	.jpg	Resources\Pictures\Positive\1750.jpg	1024	768	1.9	1	(1.9, 1)																0	4	4	4														7	3.597	7	1.481																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1811	group of apes	.jpg	Resources\Pictures\Positive\1811.jpg	1024	768	1.9	1	(1.9, 1)																0	5	5	5														2	10.958	4	4.646																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1942	group of turtles	.jpg	Resources\Pictures\Positive\1942.jpg	1024	768	1.9	1	(1.9, 1)																0	6	6	6														2	7.441	4	6.043																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2040	baby on belly	.jpg	Resources\Pictures\Positive\2040.jpg	1024	768	1.9	1	(1.9, 1)																0	7	7	7														5	6.877	6	8.441																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2057	sitting baby	.jpg	Resources\Pictures\Positive\2057.jpg	1024	768	1.9	1	(1.9, 1)																0	8	8	8														9	6.746	7	1.784																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2070	baby suprise	.jpg	Resources\Pictures\Positive\2070.jpg	1024	768	1.9	1	(1.9, 1)																0	9	9	9														7	13.889	6	4.595																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2091	children and kitten	.jpg	Resources\Pictures\Positive\2091.jpg	1024	768	1.9	1	(1.9, 1)																0	10	10	10														6	9.241	6	5.778																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2154	father and son	.jpg	Resources\Pictures\Positive\2154.jpg	1024	768	1.9	1	(1.9, 1)																0	11	11	11														7	5.63	6	5.33																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2304	smiling girl	.jpg	Resources\Pictures\Positive\2304.jpg	1024	768	1.8	1	(1.8, 1)																0	12	12	12														2	6.263	4	2.467																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2311	mother daughter	.jpg	Resources\Pictures\Positive\2311.jpg	1024	768	1.8	1	(1.8, 1)																0	13	13	13														3	5.545	5	4.079																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2332	girl and dog	.jpg	Resources\Pictures\Positive\2332.jpg	800	600	2.2	1	(2.2, 1)																0	14	14	14														7	4.918	7	2.737																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2550	happy elderly couple	.jpg	Resources\Pictures\Positive\2550.jpg	1024	768	1.9	1	(1.9, 1)																0	15	15	15														7	4.56	6	4.794																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2655	boy and dog	.jpg	Resources\Pictures\Positive\2655.jpg	1024	768	1.9	1	(1.9, 1)																0	16	16	16														7	5.794	6	10.872																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	4626	marriage scene	.jpg	Resources\Pictures\Positive\4626.jpg	1024	768	1.9	1	(1.9, 1)																0	17	17	17														5	9.773	6	6.259																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	5760	flowers	.jpg	Resources\Pictures\Positive\5760.jpg	1024	768	1.9	1	(1.9, 1)																0	18	18	18														3	22.761	5	17.531																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
