n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,1022.0,snake close up,.jpg,Resources\Pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1.0,1.0,0.0,11.946999549865723,11.946999549865723,0.0,4.0,4.0,0.0,3.950000047683716,3.950000047683716,0.0,1621.619873046875,1621.619873046875,0.0,,0.0
Resources\Pictures\,Negative\,1240.0,spider,.jpg,Resources\Pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,26.113000869750977,26.113000869750977,0.0,2.0,2.0,0.0,7.809999942779541,7.809999942779541,0.0,1652.7763671875,1652.7763671875,0.0,,1.0
Resources\Pictures\,Negative\,1300.0,dog threat 1,.jpg,Resources\Pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.776000022888184,7.776000022888184,0.0,2.0,2.0,0.0,1.7970000505447388,1.7970000505447388,0.0,1669.46337890625,1669.46337890625,0.0,,2.0
Resources\Pictures\,Negative\,1302.0, dog threat 2,.jpg,Resources\Pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1.0,1.0,0.0,5.310999870300293,5.310999870300293,0.0,3.0,3.0,0.0,2.546999931335449,2.546999931335449,0.0,1677.6734619140625,1677.6734619140625,0.0,,3.0
Resources\Pictures\,Negative\,2206.0,fingerprints,.jpg,Resources\Pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1.0,1.0,0.0,4.379000186920166,4.379000186920166,0.0,4.0,4.0,0.0,1.5140000581741333,1.5140000581741333,0.0,1685.700439453125,1685.700439453125,0.0,,4.0
Resources\Pictures\,Negative\,2276.0,child crying,.jpg,Resources\Pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,5.447999954223633,5.447999954223633,0.0,2.0,2.0,0.0,2.382999897003174,2.382999897003174,0.0,1693.7568359375,1693.7568359375,0.0,,5.0
Resources\Pictures\,Negative\,2278.0,poor children,.jpg,Resources\Pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,5.158999919891357,5.158999919891357,0.0,2.0,2.0,0.0,1.1299999952316284,1.1299999952316284,0.0,1702.4049072265625,1702.4049072265625,0.0,,6.0
Resources\Pictures\,Negative\,2375.1,famine,.jpg,Resources\Pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,3.865000009536743,3.865000009536743,0.0,1.0,1.0,0.0,1.5499999523162842,1.5499999523162842,0.0,1708.494873046875,1708.494873046875,0.0,,7.0
Resources\Pictures\,Negative\,2399.0,headache,.jpg,Resources\Pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,4.914999961853027,4.914999961853027,0.0,4.0,4.0,0.0,3.7980000972747803,3.7980000972747803,0.0,1716.0552978515625,1716.0552978515625,0.0,,8.0
Resources\Pictures\,Negative\,2410.0,math problem,.jpg,Resources\Pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.093999862670898,5.093999862670898,0.0,1.0,1.0,0.0,1.5809999704360962,1.5809999704360962,0.0,1726.05029296875,1726.05029296875,0.0,,9.0
Resources\Pictures\,Negative\,2683.0,riot scene 1,.jpg,Resources\Pictures\Negative\2683.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,8.67300033569336,8.67300033569336,0.0,1.0,1.0,0.0,2.377000093460083,2.377000093460083,0.0,1737.4107666015625,1737.4107666015625,0.0,,10.0
Resources\Pictures\,Negative\,2688.0,poacher,.jpg,Resources\Pictures\Negative\2688.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,3.309999942779541,3.309999942779541,0.0,1.0,1.0,0.0,1.2960000038146973,1.2960000038146973,0.0,1744.20458984375,1744.20458984375,0.0,,11.0
Resources\Pictures\,Negative\,2691.0,riot scene 2,.jpg,Resources\Pictures\Negative\2691.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,3.7100000381469727,3.7100000381469727,0.0,1.0,1.0,0.0,1.4459999799728394,1.4459999799728394,0.0,1750.3150634765625,1750.3150634765625,0.0,,12.0
Resources\Pictures\,Negative\,2694.0,prison scene,.jpg,Resources\Pictures\Negative\2694.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.492000102996826,5.492000102996826,0.0,1.0,1.0,0.0,2.24399995803833,2.24399995803833,0.0,1758.3602294921875,1758.3602294921875,0.0,,13.0
Resources\Pictures\,Negative\,5971.0,tornado 1,.jpg,Resources\Pictures\Negative\5971.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.144999980926514,5.144999980926514,0.0,2.0,2.0,0.0,1.6979999542236328,1.6979999542236328,0.0,1766.8497314453125,1766.8497314453125,0.0,,14.0
Resources\Pictures\,Negative\,5972.0,tornado 2,.jpg,Resources\Pictures\Negative\5972.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.046000003814697,5.046000003814697,0.0,1.0,1.0,0.0,1.6660000085830688,1.6660000085830688,0.0,1774.6922607421875,1774.6922607421875,0.0,,15.0
Resources\Pictures\,Negative\,7380.0,cockroaches food,.jpg,Resources\Pictures\Negative\7380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,3.628999948501587,3.628999948501587,0.0,1.0,1.0,0.0,1.4639999866485596,1.4639999866485596,0.0,1781.089111328125,1781.089111328125,0.0,,16.0
Resources\Pictures\,Negative\,8179.0,bungee jump,.jpg,Resources\Pictures\Negative\8179.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,30.34000015258789,30.34000015258789,0.0,4.0,4.0,0.0,3.194000005722046,3.194000005722046,0.0,1813.9967041015625,1813.9967041015625,0.0,,17.0
Resources\Pictures\,Negative\,9280.0,pollution,.jpg,Resources\Pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,3.878000020980835,3.878000020980835,0.0,2.0,2.0,0.0,4.74399995803833,4.74399995803833,0.0,1822.171875,1822.171875,0.0,,18.0
Resources\Pictures\,Negative\,9341.0,child in garbage river,.jpg,Resources\Pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,6.304999828338623,6.304999828338623,0.0,1.0,1.0,0.0,1.8940000534057617,1.8940000534057617,0.0,1834.33154296875,1834.33154296875,0.0,,19.0
Resources\Pictures\,Negative\,9584.0,dentist,.jpg,Resources\Pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,2.8299999237060547,2.8299999237060547,0.0,1.0,1.0,0.0,1.2319999933242798,1.2319999933242798,0.0,1840.15576171875,1840.15576171875,0.0,,20.0
Resources\Pictures\,Negative\,9592.0,syringe,.jpg,Resources\Pictures\Negative\9592.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,11.406000137329102,11.406000137329102,0.0,4.0,4.0,0.0,6.276000022888184,6.276000022888184,0.0,1853.8955078125,1853.8955078125,0.0,,21.0
Resources\Pictures\,Negative\,1201.0,spider on shoulder,.jpg,Resources\Pictures\Negative\1201.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,44.926998138427734,44.926998138427734,0.0,1.0,1.0,0.0,1.4129999876022339,1.4129999876022339,0.0,1906.2042236328125,1906.2042236328125,0.0,,22.0
Resources\Pictures\,Negative\,1726.0,roaring tiger,.jpg,Resources\Pictures\Negative\1726.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,34.30099868774414,34.30099868774414,0.0,4.0,4.0,0.0,27.97100067138672,27.97100067138672,0.0,1943.026611328125,1943.026611328125,0.0,,23.0
Resources\Pictures\,Negative\,1931.0,shark,.jpg,Resources\Pictures\Negative\1931.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.640999794006348,5.640999794006348,0.0,2.0,2.0,0.0,3.2780001163482666,3.2780001163482666,0.0,1977.7449951171875,1977.7449951171875,0.0,,24.0
Resources\Pictures\,Negative\,2100.0,angry man,.jpg,Resources\Pictures\Negative\2100.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,14.52299976348877,14.52299976348877,0.0,4.0,4.0,0.0,1.8309999704360962,1.8309999704360962,0.0,1996.6431884765625,1996.6431884765625,0.0,,25.0
Resources\Pictures\,Negative\,2110.0, angry man 2,.jpg,Resources\Pictures\Negative\2110.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,12.340999603271484,12.340999603271484,0.0,5.0,5.0,0.0,1.2339999675750732,1.2339999675750732,0.0,2011.912109375,2011.912109375,0.0,,26.0
Resources\Pictures\,Negative\,2692.0,bomb,.jpg,Resources\Pictures\Negative\2692.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,4.828000068664551,4.828000068664551,0.0,2.0,2.0,0.0,2.380000114440918,2.380000114440918,0.0,2019.076416015625,2019.076416015625,0.0,,27.0
