Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-10-08_11:09:20,2019-10-08_11:10:57,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
13,green,440,1.0,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
14,green,440,1.0,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
15,green,440,1.0,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
16,green,440,1.0,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
17,green,440,1.0,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
18,green,440,1.0,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
19,green,440,1.0,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
20,green,440,1.0,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
21,green,440,1.0,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
22,green,440,1.0,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
23,green,440,1.0,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
24,green,440,1.0,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
25,green,440,1.0,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
26,green,440,1.0,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
27,green,440,1.0,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
28,green,440,1.0,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
29,green,440,1.0,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
30,green,440,1.0,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
31,green,440,1.0,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
32,green,440,1.0,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
33,green,440,1.0,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
34,green,440,1.0,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
35,green,440,1.0,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
36,green,440,1.0,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
37,green,440,1.0,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
38,green,440,1.0,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
39,green,440,1.0,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
40,green,440,1.0,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
41,green,440,1.0,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
42,green,440,1.0,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
43,green,440,1.0,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
44,green,440,1.0,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
45,green,440,1.0,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
46,green,440,1.0,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
47,green,440,1.0,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
48,green,440,1.0,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
49,green,440,1.0,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
50,green,440,1.0,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
51,green,440,1.0,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
52,green,440,1.0,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
53,green,440,1.0,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
54,green,440,1.0,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
55,green,440,1.0,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
56,green,440,1.0,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
57,green,440,1.0,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,es,002,2019_Oct_08_1109,StressSession,3.1.3,59.998336046800524,
