feature,value
gsr_min_ma,0.07076615882352941
gsr_max_ma,0.1751444
gsr_mean_ma,0.14487389114215685
gsr_sd_ma,0.009831137134792946
gsr_min_corr_ma,-0.07410773231862744
gsr_max_corr_ma,0.03027050885784316
gsr_mean_corr_ma,1.2247147740396257e-17
gsr_sd_corr_ma,0.009831137134792946
gsr_baseline_mean_ma,0.14487389114215685
gsr_min_zf,0.13171641657044156
gsr_max_zf,0.17847240745393875
gsr_mean_zf,0.14541173060043341
gsr_sd_zf,0.009179990054428369
gsr_min_corr_zf,-0.013695314029991856
gsr_max_corr_zf,0.03306067685350533
gsr_mean_corr_zf,2.474872159060245e-18
gsr_sd_corr_zf,0.009179990054428367
gsr_baseline_mean_zf,0.14541173060043341
stress level,2.0
