feature,value
gsr_min_ma,0.20904845294117647
gsr_max_ma,1.0188714705882354
gsr_mean_ma,0.5965498629008613
gsr_sd_ma,0.1449996446872121
gsr_min_corr_ma,0.06417456179901962
gsr_max_corr_ma,0.8739975794460785
gsr_mean_corr_ma,0.4516759717587044
gsr_sd_corr_ma,0.14499964468721208
gsr_baseline_mean_ma,0.14487389114215685
gsr_min_zf,0.39250489553851364
gsr_max_zf,1.0852664606135152
gsr_mean_zf,0.5983272312117502
gsr_sd_zf,0.14457129881790934
gsr_min_corr_zf,0.24709316493808023
gsr_max_corr_zf,0.9398547300130817
gsr_mean_corr_zf,0.4529155006113168
gsr_sd_corr_zf,0.14457129881790934
gsr_baseline_mean_zf,0.14541173060043341
arousal,5.66
valence,4.66
