Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-09-23_17:57:12,2019-09-23_17:57:35,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,fw2,002,2019_Sep_23_1757,StressSession,3.2.3,59.99167315172541,
