p_path	p_weight	p_name	p_description	p_type	p_pictures	p_pic_width	p_pic_height	p_new_width	p_new_height	p_new_size	n_path	n_weight	n_name	n_description	n_type	n_pictures	n_pic_width	n_pic_height	n_new_width	n_new_height	n_new_size	emotion_trials_p.thisRepN	emotion_trials_p.thisTrialN	emotion_trials_p.thisN	emotion_trials_p.thisIndex	emotion_evaluation_p.thisRepN	emotion_evaluation_p.thisTrialN	emotion_evaluation_p.thisN	emotion_evaluation_p.thisIndex	emotion_trials_n.thisRepN	emotion_trials_n.thisTrialN	emotion_trials_n.thisN	emotion_trials_n.thisIndex	emotion_evaluation_n.thisRepN	emotion_evaluation_n.thisTrialN	emotion_evaluation_n.thisN	emotion_evaluation_n.thisIndex	start_session_three	start_emotion_one	image_emotion_p.started	image_emotion_p.stopped	end_emotion_one	rating_emotion_p_eval_o.response	rating_emotion_p_eval_o.rt	rating_emotion_p_eval_t.response	rating_emotion_p_eval_t.rt	key_resp_cooldown_instructions.keys	key_resp_cooldown_instructions.rt	start_cooldown_measurement	end_cooldown_measurement	rating_cooldown_evaluation.response	rating_cooldown_evaluation.rt	start_emotion_two	image_emotion_n.started	image_emotion_n.stopped	end_emotion_two	rating_emotion_n_eval_o.response	rating_emotion_n_eval_o.rt	text_emotion_n_eval_t.started	text_emotion_n_eval_t.stopped	rating_emotion_n_eval_t.response	rating_emotion_n_eval_t.rt	end_session_three	participant	session	date	expName	psychopyVersion	frameRate
Resources\Pictures\	Positive\	2304	smiling girl	.jpg	Resources\Pictures\Positive\2304.jpg	1024	768	1.8	1	(1.8, 1)												0	0	0	12													2019-09-23_18:22:10	2019-09-23_18:24:29	152.6476692	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	5833	sunny beach	.jpg	Resources\Pictures\Positive\5833.jpg	1024	768	1.9	1	(1.9, 1)												0	1	1	20															162.6029674	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2091	children and kitten	.jpg	Resources\Pictures\Positive\2091.jpg	1024	768	1.9	1	(1.9, 1)												0	2	2	10															172.5991417	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2070	baby suprise	.jpg	Resources\Pictures\Positive\2070.jpg	1024	768	1.9	1	(1.9, 1)												0	3	3	9															182.5854753	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1710	three dogs	.jpg	Resources\Pictures\Positive\1710.jpg	1024	768	1.9	1	(1.9, 1)												0	4	4	3															192.6065867	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2005	smiling man	.jpg	Resources\Pictures\Positive\2005.jpg	1024	768	1.9	1	(1.9, 1)												0	5	5	28															202.5938912	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2332	girl and dog	.jpg	Resources\Pictures\Positive\2332.jpg	800	600	2.2	1	(2.2, 1)												0	6	6	14															212.59061	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2040	baby on belly	.jpg	Resources\Pictures\Positive\2040.jpg	1024	768	1.9	1	(1.9, 1)												0	7	7	7															222.6180669	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	8380	team medals	.jpg	Resources\Pictures\Positive\8380.jpg	1024	768	1.9	1	(1.9, 1)												0	8	8	25															232.6180014	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2311	mother daughter	.jpg	Resources\Pictures\Positive\2311.jpg	1024	768	1.8	1	(1.8, 1)												0	9	9	13															242.6177083	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1340	women and parrots	.jpg	Resources\Pictures\Positive\1340.jpg	1024	768	1.9	1	(1.9, 1)												0	10	10	21															252.6149031	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1460	tiger cub	.jpg	Resources\Pictures\Positive\1460.jpg	1024	768	1.9	1	(1.9, 1)												0	11	11	1															262.6175636	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	1440	seal	.jpg	Resources\Pictures\Positive\1440.jpg	1024	768	1.9	1	(1.9, 1)												0	12	12	0															272.5986065	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	5760	flowers	.jpg	Resources\Pictures\Positive\5760.jpg	1024	768	1.9	1	(1.9, 1)												0	13	13	18															282.6348037	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	2071	baby smiling	.jpg	Resources\Pictures\Positive\2071.jpg	1024	768	1.9	1	(1.9, 1)												0	14	14	31															292.6049625	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
Resources\Pictures\	Positive\	8497	family on rollercoaster	.jpg	Resources\Pictures\Positive\8497.jpg	1024	768	1.9	1	(1.9, 1)												0	15	15	26															302.609297	None																							fw	3	2019_Sep_23_1822	EmotionSession	03.02.2003	60.00751294
