p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,202.09800720214844,202.09800720214844,0.0,4.0,4.0,0.0,13.904999732971191,13.904999732971191,0.0,0.0
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,15.27299976348877,15.27299976348877,0.0,6.0,6.0,0.0,5.021999835968018,5.021999835968018,0.0,1.0
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,9.302000045776367,9.302000045776367,0.0,6.0,6.0,0.0,3.4200000762939453,3.4200000762939453,0.0,2.0
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.301000118255615,7.301000118255615,0.0,4.0,4.0,0.0,3.0910000801086426,3.0910000801086426,0.0,3.0
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,8.890000343322754,8.890000343322754,0.0,4.0,4.0,0.0,2.8369998931884766,2.8369998931884766,0.0,4.0
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,9.020000457763672,9.020000457763672,0.0,3.0,3.0,0.0,39.7140007019043,39.7140007019043,0.0,5.0
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,13.465999603271484,13.465999603271484,0.0,6.0,6.0,0.0,6.5879998207092285,6.5879998207092285,0.0,6.0
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,19.63599967956543,19.63599967956543,0.0,4.0,4.0,0.0,21.985000610351562,21.985000610351562,0.0,7.0
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,19.45400047302246,19.45400047302246,0.0,4.0,4.0,0.0,5.890999794006348,5.890999794006348,0.0,8.0
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,15.666999816894531,15.666999816894531,0.0,4.0,4.0,0.0,1.906000018119812,1.906000018119812,0.0,9.0
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,4.757999897003174,4.757999897003174,0.0,5.0,5.0,0.0,2.622999906539917,2.622999906539917,0.0,10.0
Resources\Pictures\,Positive\,2154,father and son,.jpg,Resources\Pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,7.335000038146973,7.335000038146973,0.0,4.0,4.0,0.0,7.4070000648498535,7.4070000648498535,0.0,11.0
Resources\Pictures\,Positive\,2304,smiling girl,.jpg,Resources\Pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,6.0,6.0,0.0,6.276000022888184,6.276000022888184,0.0,5.0,5.0,0.0,2.0899999141693115,2.0899999141693115,0.0,12.0
Resources\Pictures\,Positive\,2311,mother daughter,.jpg,Resources\Pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,7.0,7.0,0.0,5.071000099182129,5.071000099182129,0.0,5.0,5.0,0.0,2.260999917984009,2.260999917984009,0.0,13.0
Resources\Pictures\,Positive\,2332,girl and dog,.jpg,Resources\Pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",1.0,7.0,7.0,0.0,4.046999931335449,4.046999931335449,0.0,5.0,5.0,0.0,2.247999906539917,2.247999906539917,0.0,14.0
Resources\Pictures\,Positive\,2550,happy elderly couple,.jpg,Resources\Pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,4.406000137329102,4.406000137329102,0.0,5.0,5.0,0.0,4.7220001220703125,4.7220001220703125,0.0,15.0
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.435999870300293,7.435999870300293,0.0,5.0,5.0,0.0,1.9559999704360962,1.9559999704360962,0.0,16.0
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,11.12399959564209,11.12399959564209,0.0,5.0,5.0,0.0,1.9910000562667847,1.9910000562667847,0.0,17.0
Resources\Pictures\,Positive\,5760,flowers,.jpg,Resources\Pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,5.802999973297119,5.802999973297119,0.0,6.0,6.0,0.0,2.187000036239624,2.187000036239624,0.0,18.0
Resources\Pictures\,Positive\,5831,father and son beach,.jpg,Resources\Pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,4.052000045776367,4.052000045776367,0.0,4.0,4.0,0.0,4.170000076293945,4.170000076293945,0.0,19.0
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,13.303999900817871,13.303999900817871,0.0,5.0,5.0,0.0,3.4200000762939453,3.4200000762939453,0.0,20.0
Resources\Pictures\,Positive\,1340,women and parrots,.jpg,Resources\Pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,5.570000171661377,5.570000171661377,0.0,7.0,7.0,0.0,5.770999908447266,5.770999908447266,0.0,21.0
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,4.289000034332275,4.289000034332275,0.0,6.0,6.0,0.0,3.569999933242798,3.569999933242798,0.0,22.0
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,6.072000026702881,6.072000026702881,0.0,2.0,2.0,0.0,7.284999847412109,7.284999847412109,0.0,23.0
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,20.201000213623047,20.201000213623047,0.0,5.0,5.0,0.0,2.3399999141693115,2.3399999141693115,0.0,24.0
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.65500020980835,6.65500020980835,0.0,4.0,4.0,0.0,3.239000082015991,3.239000082015991,0.0,25.0
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,2.871000051498413,2.871000051498413,0.0,4.0,4.0,0.0,2.921999931335449,2.921999931335449,0.0,26.0
Resources\Pictures\,Positive\,1601,man feeding giraffe,.jpg,Resources\Pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,3.9560000896453857,3.9560000896453857,0.0,5.0,5.0,0.0,2.306999921798706,2.306999921798706,0.0,27.0
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,5.357999801635742,5.357999801635742,0.0,4.0,4.0,0.0,3.9089999198913574,3.9089999198913574,0.0,28.0
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,4.88700008392334,4.88700008392334,0.0,5.0,5.0,0.0,2.00600004196167,2.00600004196167,0.0,29.0
Resources\Pictures\,Positive\,2058,baby holding hand,.jpg,Resources\Pictures\Positive\2058.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,7.271999835968018,7.271999835968018,0.0,4.0,4.0,0.0,2.5380001068115234,2.5380001068115234,0.0,30.0
Resources\Pictures\,Positive\,2071,baby smiling,.jpg,Resources\Pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,12.651000022888184,12.651000022888184,0.0,4.0,4.0,0.0,1.722000002861023,1.722000002861023,0.0,31.0

extraInfo
participant,fw
session,003
date,2019_Sep_23_1822
expName,EmotionSession
psychopyVersion,3.2.3
frameRate,60.00751294194122
