feature,value
gsr_min_ma,0.41924849411764703
gsr_max_ma,0.9100056470588235
gsr_mean_ma,0.8223371395983975
gsr_sd_ma,0.0409898812626233
gsr_min_corr_ma,0.04272390525980391
gsr_max_corr_ma,0.5334810582009804
gsr_mean_corr_ma,0.44581255074055437
gsr_sd_corr_ma,0.0409898812626233
gsr_baseline_mean_ma,0.3765245888578431
gsr_min_zf,0.7848455266119231
gsr_max_zf,0.9157647997494905
gsr_mean_zf,0.8253370804931235
gsr_sd_zf,0.031928557927757055
gsr_min_corr_zf,0.40682677535552514
gsr_max_corr_zf,0.5377460484930926
gsr_mean_corr_zf,0.4473183292367255
gsr_sd_corr_zf,0.031928557927757055
gsr_baseline_mean_zf,0.37801875125639794
arousal,7.7
valence,2.23
