p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,0,0,28,,,,,,,,,,,,,2019-10-05_10:55:05,2019-10-05_10:57:01,136.9291570999194,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,2304,smiling girl,.jpg,Resources\Pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,,,,0,1,1,12,,,,,,,,,,,,,,,146.86053659999743,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,156.8457263999153,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,166.83658990007825,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,2154,father and son,.jpg,Resources\Pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,4,4,11,,,,,,,,,,,,,,,176.826745999977,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,186.83532879990526,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,1340,women and parrots,.jpg,Resources\Pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,6,6,21,,,,,,,,,,,,,,,196.84962469991297,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,5831,father and son beach,.jpg,Resources\Pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,7,7,19,,,,,,,,,,,,,,,206.88350420002826,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,216.84115369990468,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,226.8346478000749,None,,,,,,,,,,,,,,,,,,,,,,,ka,003,2019_Oct_05_1055,EmotionSession,3.2.3,59.787908332024365,
