p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,46.92300033569336,46.92300033569336,0.0,5.0,5.0,0.0,25.009000778198242,25.009000778198242,0.0,0.0
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,13.239999771118164,13.239999771118164,0.0,5.0,5.0,0.0,7.440999984741211,7.440999984741211,0.0,1.0
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,8.291000366210938,8.291000366210938,0.0,6.0,6.0,0.0,10.657999992370605,10.657999992370605,0.0,2.0
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,11.23900032043457,11.23900032043457,0.0,5.0,5.0,0.0,4.672999858856201,4.672999858856201,0.0,3.0
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,9.286999702453613,9.286999702453613,0.0,6.0,6.0,0.0,6.572000026702881,6.572000026702881,0.0,4.0
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,5.508999824523926,5.508999824523926,0.0,7.0,7.0,0.0,2.561000108718872,2.561000108718872,0.0,5.0
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,11.305000305175781,11.305000305175781,0.0,5.0,5.0,0.0,2.742000102996826,2.742000102996826,0.0,6.0
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,8.223999977111816,8.223999977111816,0.0,6.0,6.0,0.0,4.091000080108643,4.091000080108643,0.0,7.0
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,8.390000343322754,8.390000343322754,0.0,6.0,6.0,0.0,5.2769999504089355,5.2769999504089355,0.0,8.0
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,8.045999526977539,8.045999526977539,0.0,6.0,6.0,0.0,2.628000020980835,2.628000020980835,0.0,9.0
