Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-10-05_10:28:44,2019-10-05_10:30:30,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
13,green,440,1.0,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
14,green,440,1.0,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
15,green,440,1.0,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
16,green,440,1.0,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
17,green,440,1.0,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
18,green,440,1.0,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
19,green,440,1.0,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
20,green,440,1.0,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
21,green,440,1.0,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
22,green,440,1.0,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
23,green,440,1.0,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
24,green,440,1.0,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
25,green,440,1.0,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
26,green,440,1.0,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
27,green,440,1.0,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
28,green,440,1.0,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
29,green,440,1.0,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
30,green,440,1.0,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
31,green,440,1.0,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
32,green,440,1.0,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
33,green,440,1.0,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
34,green,440,1.0,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
35,green,440,1.0,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
36,green,440,1.0,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
37,green,440,1.0,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
38,green,440,1.0,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
39,green,440,1.0,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
40,green,440,1.0,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
41,green,440,1.0,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
42,green,440,1.0,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
43,green,440,1.0,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
44,green,440,1.0,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,ka,002,2019_Oct_05_1028,StressSession,3.2.3,59.838889828028364,
