feature,value
gsr_min_ma,0.059766741176470586
gsr_max_ma,0.1171970705882353
gsr_mean_ma,0.11396366880392157
gsr_sd_ma,0.004062133353350827
gsr_min_corr_ma,-0.033055343900000006
gsr_max_corr_ma,0.024374985511764702
gsr_mean_corr_ma,0.021141583727450976
gsr_sd_corr_ma,0.004062133353350827
gsr_baseline_mean_ma,0.09282208507647059
gsr_min_zf,0.11005955047637778
gsr_max_zf,0.12194089651897322
gsr_mean_zf,0.11436643506135853
gsr_sd_zf,0.0015647146410117062
gsr_min_corr_zf,0.016905677436727967
gsr_max_corr_zf,0.02878702347932341
gsr_mean_corr_zf,0.021212562021708722
gsr_sd_corr_zf,0.0015647146410117062
gsr_baseline_mean_zf,0.09315387303964981
emotional rating,5.0
