p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,5831,father and son beach,.jpg,Resources\Pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,0,0,19,,,,,,,,,,,,,2019-09-28_09:54:59,2019-09-28_09:56:16,88.98792870005127,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,98.9162842000369,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,2,2,23,,,,,,,,,,,,,,,108.89317490009125,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,118.92612329998519,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2550,happy elderly couple,.jpg,Resources\Pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,4,4,15,,,,,,,,,,,,,,,128.89449169998989,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,5,5,26,,,,,,,,,,,,,,,138.91230510000605,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,6,6,22,,,,,,,,,,,,,,,148.89029470004607,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2311,mother daughter,.jpg,Resources\Pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,,,,0,7,7,13,,,,,,,,,,,,,,,158.90181469998788,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,168.90249710006174,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,9,9,16,,,,,,,,,,,,,,,178.8999223000137,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,10,10,25,,,,,,,,,,,,,,,188.91267140000127,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,5760,flowers,.jpg,Resources\Pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,198.90253820002545,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,12,12,10,,,,,,,,,,,,,,,208.88730280008167,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,13,13,7,,,,,,,,,,,,,,,218.8893353000749,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2058,baby holding hand,.jpg,Resources\Pictures\Positive\2058.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,14,14,30,,,,,,,,,,,,,,,228.925428400049,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,15,15,9,,,,,,,,,,,,,,,238.896809100057,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,16,16,8,,,,,,,,,,,,,,,248.8909929000074,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,17,17,3,,,,,,,,,,,,,,,258.896404900006,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,18,18,29,,,,,,,,,,,,,,,268.88763060001656,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,19,19,20,,,,,,,,,,,,,,,278.89385840005707,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
Resources\Pictures\,Positive\,2071,baby smiling,.jpg,Resources\Pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,20,20,31,,,,,,,,,,,,,,,288.88539499999024,None,,,,,,,,,,,,,,,,,,,,,,,lb,003,2019_Sep_28_0954,EmotionSession,3.2.3,59.72499032915373,
