p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,15.135000228881836,15.135000228881836,0.0,6.0,6.0,0.0,15.039999961853027,15.039999961853027,0.0,0.0
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,14.449999809265137,14.449999809265137,0.0,7.0,7.0,0.0,5.478000164031982,5.478000164031982,0.0,1.0
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,15.269000053405762,15.269000053405762,0.0,5.0,5.0,0.0,3.7200000286102295,3.7200000286102295,0.0,2.0
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,12.454999923706055,12.454999923706055,0.0,5.0,5.0,0.0,3.4709999561309814,3.4709999561309814,0.0,3.0
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,9.954000473022461,9.954000473022461,0.0,7.0,7.0,0.0,4.369999885559082,4.369999885559082,0.0,4.0
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,4.771999835968018,4.771999835968018,0.0,4.0,4.0,0.0,3.5399999618530273,3.5399999618530273,0.0,5.0
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,8.852999687194824,8.852999687194824,0.0,4.0,4.0,0.0,2.321000099182129,2.321000099182129,0.0,6.0
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,6.072000026702881,6.072000026702881,0.0,4.0,4.0,0.0,2.3540000915527344,2.3540000915527344,0.0,7.0
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,4.770999908447266,4.770999908447266,0.0,7.0,7.0,0.0,2.2750000953674316,2.2750000953674316,0.0,8.0
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,2.50600004196167,2.50600004196167,0.0,7.0,7.0,0.0,2.2039999961853027,2.2039999961853027,0.0,9.0
