WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,n,key_resp_part_two_meas.keys_raw,key_resp_part_two_meas.rt_mean,key_resp_part_two_meas.rt_raw,key_resp_part_two_meas.rt_std,key_resp_part_two_meas.started_mean,key_resp_part_two_meas.started_raw,key_resp_part_two_meas.started_std,key_resp_part_two_meas.stopped_raw,order
rot,blue,rot,blau,right,1.0,'right',0.840373694896698,0.840373694896698,0.0,884.1062622070312,884.1062622070312,0.0,,145.0
rot,green,rot,gruen,right,1.0,'right',1.142082691192627,1.142082691192627,0.0,776.2993774414062,776.2993774414062,0.0,,73.0
rot,magenta,rot,magenta,right,1.0,'right',0.7789688110351562,0.7789688110351562,0.0,773.6622924804688,773.6622924804688,0.0,,71.0
rot,cyan,rot,cyan,right,1.0,'right',0.836009681224823,0.836009681224823,0.0,865.5250854492188,865.5250854492188,0.0,,132.0
rot,yellow,rot,gelb,right,1.0,'left',1.047825574874878,1.047825574874878,0.0,837.3937377929688,837.3937377929688,0.0,,115.0
rot,orange,rot,orange,right,1.0,'right',0.8222028017044067,0.8222028017044067,0.0,815.010986328125,815.010986328125,0.0,,100.0
rot,purple,rot,violett,right,1.0,'right',0.731525182723999,0.731525182723999,0.0,855.2616577148438,855.2616577148438,0.0,,125.0
rot,brown,rot,braun,right,1.0,'right',1.6964890956878662,1.6964890956878662,0.0,717.6643676757812,717.6643676757812,0.0,,33.0
rot,white,rot,weiß,right,1.0,'right',0.7817807197570801,0.7817807197570801,0.0,813.6996459960938,813.6996459960938,0.0,,99.0
rot,black,rot,schwarz,right,1.0,'right',0.7793028950691223,0.7793028950691223,0.0,781.5817260742188,781.5817260742188,0.0,,76.0
blau,green,blau,gruen,right,1.0,'right',1.0842170715332031,1.0842170715332031,0.0,685.5010375976562,685.5010375976562,0.0,,14.0
blau,magenta,blau,magenta,right,1.0,'right',1.1395325660705566,1.1395325660705566,0.0,667.4775390625,667.4775390625,0.0,,4.0
blau,cyan,blau,cyan,right,1.0,'right',0.7417542934417725,0.7417542934417725,0.0,702.6834716796875,702.6834716796875,0.0,,23.0
blau,yellow,blau,gelb,right,1.0,'right',0.8419641256332397,0.8419641256332397,0.0,859.3832397460938,859.3832397460938,0.0,,128.0
blau,orange,blau,orange,right,1.0,'right',1.095542311668396,1.095542311668396,0.0,901.8015747070312,901.8015747070312,0.0,,155.0
blau,purple,blau,violett,right,1.0,'right',0.7546074986457825,0.7546074986457825,0.0,858.0944213867188,858.0944213867188,0.0,,127.0
blau,brown,blau,braun,right,1.0,'left',0.8815798759460449,0.8815798759460449,0.0,841.3117065429688,841.3117065429688,0.0,,117.0
