Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-09-24_16:39:54,2019-09-24_16:40:36,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,lp2,002,2019_Sep_24_1639,StressSession,3.2.3,59.556175466185344,
