p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,126.23200225830078,126.23200225830078,0.0,5.0,5.0,0.0,40.9630012512207,40.9630012512207,0.0,0.0
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,9.180999755859375,9.180999755859375,0.0,6.0,6.0,0.0,8.081999778747559,8.081999778747559,0.0,1.0
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,7.534999847412109,7.534999847412109,0.0,6.0,6.0,0.0,1.0399999618530273,1.0399999618530273,0.0,2.0
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,6.888000011444092,6.888000011444092,0.0,7.0,7.0,0.0,1.5410000085830688,1.5410000085830688,0.0,3.0
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,21.16699981689453,21.16699981689453,0.0,4.0,4.0,0.0,10.569000244140625,10.569000244140625,0.0,4.0
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,6.434999942779541,6.434999942779541,0.0,4.0,4.0,0.0,17.72100067138672,17.72100067138672,0.0,5.0
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.316999912261963,6.316999912261963,0.0,4.0,4.0,0.0,2.2049999237060547,2.2049999237060547,0.0,6.0
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,11.85099983215332,11.85099983215332,0.0,5.0,5.0,0.0,2.9860000610351562,2.9860000610351562,0.0,7.0
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,3.572999954223633,3.572999954223633,0.0,5.0,5.0,0.0,1.4049999713897705,1.4049999713897705,0.0,8.0
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,7.521999835968018,7.521999835968018,0.0,6.0,6.0,0.0,3.88700008392334,3.88700008392334,0.0,9.0
