feature,value
name,raw (peak data)
mean_nni,731.8091299019608
sdnn,266.4581230627214
sdsd,336.46937950000125
nni_50,314
pnni_50,76.96078431372548
nni_20,364
pnni_20,89.2156862745098
rmssd,336.4694145425471
median_nni,812.5
range_nni,1046.875
cvsd,0.4597775578279863
cvnni,0.3641087712289383
mean_hr,104.33896759865245
max_hr,295.38461538461536
min_hr,48.0
std_hr,65.68057665046678
stress level,1.0
name,interpolated (no artifacts)
mean_nni,841.2734149855908
sdnn,141.68709375324877
sdsd,166.78261284653084
nni_50,199
pnni_50,57.34870317002882
nni_20,272
pnni_20,78.38616714697406
rmssd,166.7827106663692
median_nni,859.375
range_nni,921.875
cvsd,0.1982503044735175
cvnni,0.1684197922213857
mean_hr,73.53993959508038
max_hr,182.85714285714286
min_hr,48.0
std_hr,13.85338806158705
stress level,1.0
name,nn_intervals (no artifacts or ectopic beats)
mean_nni,858.8379847061657
sdnn,119.16784502350797
sdsd,93.68732564547024
nni_50,184
pnni_50,53.179190751445084
nni_20,269
pnni_20,77.74566473988439
rmssd,93.68978866487636
median_nni,875.0
range_nni,609.375
cvsd,0.10908901368275002
cvnni,0.13875474437041682
mean_hr,71.2510251308148
max_hr,98.46153846153847
min_hr,49.23076923076923
std_hr,10.171530762375808
stress level,1.0
