p_path	p_weight	p_name	p_description	p_type	p_pictures	p_pic_width	p_pic_height	p_new_width	p_new_height	p_new_size	n_path	n_weight	n_name	n_description	n_type	n_pictures	n_pic_width	n_pic_height	n_new_width	n_new_height	n_new_size	emotion_trials_p.thisRepN	emotion_trials_p.thisTrialN	emotion_trials_p.thisN	emotion_trials_p.thisIndex	emotion_evaluation_p.thisRepN	emotion_evaluation_p.thisTrialN	emotion_evaluation_p.thisN	emotion_evaluation_p.thisIndex	emotion_trials_n.thisRepN	emotion_trials_n.thisTrialN	emotion_trials_n.thisN	emotion_trials_n.thisIndex	emotion_evaluation_n.thisRepN	emotion_evaluation_n.thisTrialN	emotion_evaluation_n.thisN	emotion_evaluation_n.thisIndex	start_session_three	start_emotion_one	image_emotion_p.started	image_emotion_p.stopped	end_emotion_one	rating_emotion_p_eval_o.response	rating_emotion_p_eval_o.rt	rating_emotion_p_eval_t.response	rating_emotion_p_eval_t.rt	key_resp_cooldown_instructions.keys	key_resp_cooldown_instructions.rt	start_cooldown_measurement	end_cooldown_measurement	rating_cooldown_evaluation.response	rating_cooldown_evaluation.rt	start_emotion_two	image_emotion_n.started	image_emotion_n.stopped	end_emotion_two	rating_emotion_n_eval_o.response	rating_emotion_n_eval_o.rt	text_emotion_n_eval_t.started	text_emotion_n_eval_t.stopped	rating_emotion_n_eval_t.response	rating_emotion_n_eval_t.rt	end_session_three	participant	session	date	expName	psychopyVersion	frameRate
Resources\Pictures\	Positive\	7325	girl and watermelon	.jpg	Resources\Pictures\Positive\7325.jpg	1024	768	01. Sep	1	(1.9, 1)												0	0	0	22													2019-09-18_10:21:37	2019-09-18_10:22:41	7.603.300.989.183.110	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2311	mother daughter	.jpg	Resources\Pictures\Positive\2311.jpg	1024	768	17.999.999.999.999.900	1	(1.8, 1)												0	1	1	13															859.634.257.378.766	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2091	children and kitten	.jpg	Resources\Pictures\Positive\2091.jpg	1024	768	01. Sep	1	(1.9, 1)												0	2	2	10															959.530.722.533.782	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	8497	family on rollercoaster	.jpg	Resources\Pictures\Positive\8497.jpg	1024	768	01. Sep	1	(1.9, 1)												0	3	3	26															10.594.410.202.103.200	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1942	group of turtles	.jpg	Resources\Pictures\Positive\1942.jpg	1024	768	01. Sep	1	(1.9, 1)												0	4	4	6															1.159.374.033.600.820	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2304	smiling girl	.jpg	Resources\Pictures\Positive\2304.jpg	1024	768	17.999.999.999.999.900	1	(1.8, 1)												0	5	5	12															12.592.403.334.482.400	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1811	group of apes	.jpg	Resources\Pictures\Positive\1811.jpg	1024	768	01. Sep	1	(1.9, 1)												0	6	6	5															13.591.911.089.569.200	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1340	women and parrots	.jpg	Resources\Pictures\Positive\1340.jpg	1024	768	01. Sep	1	(1.9, 1)												0	7	7	21															14.591.450.375.295.600	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	5760	flowers	.jpg	Resources\Pictures\Positive\5760.jpg	1024	768	01. Sep	1	(1.9, 1)												0	8	8	18															15.590.804.999.846.300	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	5833	sunny beach	.jpg	Resources\Pictures\Positive\5833.jpg	1024	768	01. Sep	1	(1.9, 1)												0	9	9	20															16.589.701.982.120.900	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	8380	team medals	.jpg	Resources\Pictures\Positive\8380.jpg	1024	768	01. Sep	1	(1.9, 1)												0	10	10	25															17.588.870.068.164.100	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	5831	father and son beach	.jpg	Resources\Pictures\Positive\5831.jpg	1024	768	01. Sep	1	(1.9, 1)												0	11	11	19															18.588.050.100.863.800	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1460	tiger cub	.jpg	Resources\Pictures\Positive\1460.jpg	1024	768	01. Sep	1	(1.9, 1)												0	12	12	1															19.587.475.424.020.900	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	7502	disney land	.jpg	Resources\Pictures\Positive\7502.jpg	1024	768	01. Sep	1	(1.9, 1)												0	13	13	23															20.586.203.617.106.100	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2005	smiling man	.jpg	Resources\Pictures\Positive\2005.jpg	1024	768	01. Sep	1	(1.9, 1)												0	14	14	28															2.158.499.819.946.810	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1710	three dogs	.jpg	Resources\Pictures\Positive\1710.jpg	1024	768	01. Sep	1	(1.9, 1)												0	15	15	3															22.584.677.517.075.100	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1750	rabit	.jpg	Resources\Pictures\Positive\1750.jpg	1024	768	01. Sep	1	(1.9, 1)												0	16	16	4															23.583.769.443.183.300	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2040	baby on belly	.jpg	Resources\Pictures\Positive\2040.jpg	1024	768	01. Sep	1	(1.9, 1)												0	17	17	7															245.830.144.144.943	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2058	baby holding hand	.jpg	Resources\Pictures\Positive\2058.jpg	1024	768	01. Sep	1	(1.9, 1)												0	18	18	30															25.582.082.575.289.400	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2071	baby smiling	.jpg	Resources\Pictures\Positive\2071.jpg	1024	768	01. Sep	1	(1.9, 1)												0	19	19	31															26.581.028.325.522.400	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1463	group of cats	.jpg	Resources\Pictures\Positive\1463.jpg	1024	768	01. Sep	1	(1.9, 1)												0	20	20	2															2.758.063.557.919.090	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2655	boy and dog	.jpg	Resources\Pictures\Positive\2655.jpg	1024	768	01. Sep	1	(1.9, 1)												0	21	21	16															2.857.968.671.600.060	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2332	girl and dog	.jpg	Resources\Pictures\Positive\2332.jpg	800	600	21.999.999.999.999.900	1	(2.2, 1)												0	22	22	14															2.957.827.534.653.830	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	4626	marriage scene	.jpg	Resources\Pictures\Positive\4626.jpg	1024	768	01. Sep	1	(1.9, 1)												0	23	23	17															3.057.815.289.330.940	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2010	smiling man 2	.jpg	Resources\Pictures\Positive\2010.jpg	1024	768	01. Sep	1	(1.9, 1)												0	24	24	29															31.577.036.904.928.400	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1601	man feeding giraffe	.jpg	Resources\Pictures\Positive\1601.jpg	1024	768	01. Sep	1	(1.9, 1)												0	25	25	27															3.257.635.726.817.500	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2550	happy elderly couple	.jpg	Resources\Pictures\Positive\2550.jpg	1024	768	01. Sep	1	(1.9, 1)												0	26	26	15															33.575.726.356.713.400	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2154	father and son	.jpg	Resources\Pictures\Positive\2154.jpg	1024	768	01. Sep	1	(1.9, 1)												0	27	27	11															3.457.447.660.844.650	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2070	baby suprise	.jpg	Resources\Pictures\Positive\2070.jpg	1024	768	01. Sep	1	(1.9, 1)												0	28	28	9															3.557.385.397.431.120	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	8330	women and trophy	.jpg	Resources\Pictures\Positive\8330.jpg	1024	768	01. Sep	1	(1.9, 1)												0	29	29	24															3.657.305.086.032.990	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1440	seal	.jpg	Resources\Pictures\Positive\1440.jpg	1024	768	01. Sep	1	(1.9, 1)												0	30	30	0															3.757.229.113.831.150	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2057	sitting baby	.jpg	Resources\Pictures\Positive\2057.jpg	1024	768	01. Sep	1	(1.9, 1)												0	31	31	8															38.571.263.939.188.000	None																							lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1440	seal	.jpg	Resources\Pictures\Positive\1440.jpg	1024	768	01. Sep	1	(1.9, 1)																0	0	0	0													2019-09-18_10:28:01	5	64.264	6	90.46																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1460	tiger cub	.jpg	Resources\Pictures\Positive\1460.jpg	1024	768	01. Sep	1	(1.9, 1)																0	1	1	1														6	12.469	6	7.423																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1463	group of cats	.jpg	Resources\Pictures\Positive\1463.jpg	1024	768	01. Sep	1	(1.9, 1)																0	2	2	2														7	6.158	6	13.57																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1710	three dogs	.jpg	Resources\Pictures\Positive\1710.jpg	1024	768	01. Sep	1	(1.9, 1)																0	3	3	3														7	6.509	7	5.527																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1750	rabit	.jpg	Resources\Pictures\Positive\1750.jpg	1024	768	01. Sep	1	(1.9, 1)																0	4	4	4														6	8.342	7	4.513																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1811	group of apes	.jpg	Resources\Pictures\Positive\1811.jpg	1024	768	01. Sep	1	(1.9, 1)																0	5	5	5														5	7.577	7	4.681																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1942	group of turtles	.jpg	Resources\Pictures\Positive\1942.jpg	1024	768	01. Sep	1	(1.9, 1)																0	6	6	6														4	7.392	4	15.368																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2040	baby on belly	.jpg	Resources\Pictures\Positive\2040.jpg	1024	768	01. Sep	1	(1.9, 1)																0	7	7	7														5	20.065	6	12.337																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2057	sitting baby	.jpg	Resources\Pictures\Positive\2057.jpg	1024	768	01. Sep	1	(1.9, 1)																0	8	8	8														5	11.641	6	1.933																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2070	baby suprise	.jpg	Resources\Pictures\Positive\2070.jpg	1024	768	01. Sep	1	(1.9, 1)																0	9	9	9														6	08. Jan	6	2.582																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2091	children and kitten	.jpg	Resources\Pictures\Positive\2091.jpg	1024	768	01. Sep	1	(1.9, 1)																0	10	10	10														4	8.392	5	Jun 31																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2154	father and son	.jpg	Resources\Pictures\Positive\2154.jpg	1024	768	01. Sep	1	(1.9, 1)																0	11	11	11														6	7.412	5	6.297																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2304	smiling girl	.jpg	Resources\Pictures\Positive\2304.jpg	1024	768	17.999.999.999.999.900	1	(1.8, 1)																0	12	12	12														5	9.394	5	6.862																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2311	mother daughter	.jpg	Resources\Pictures\Positive\2311.jpg	1024	768	17.999.999.999.999.900	1	(1.8, 1)																0	13	13	13														5	8.307	4	7.776																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2332	girl and dog	.jpg	Resources\Pictures\Positive\2332.jpg	800	600	21.999.999.999.999.900	1	(2.2, 1)																0	14	14	14														6	9.047	4	9.781																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2550	happy elderly couple	.jpg	Resources\Pictures\Positive\2550.jpg	1024	768	01. Sep	1	(1.9, 1)																0	15	15	15														5	11.004	5	Jul 79																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	2655	boy and dog	.jpg	Resources\Pictures\Positive\2655.jpg	1024	768	01. Sep	1	(1.9, 1)																0	16	16	16														6	9.624	6	Mai 96																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	4626	marriage scene	.jpg	Resources\Pictures\Positive\4626.jpg	1024	768	01. Sep	1	(1.9, 1)																0	17	17	17														6	8.925	6	7.676																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	5760	flowers	.jpg	Resources\Pictures\Positive\5760.jpg	1024	768	01. Sep	1	(1.9, 1)																0	18	18	18														3	6.956	4	Mrz 71																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	5831	father and son beach	.jpg	Resources\Pictures\Positive\5831.jpg	1024	768	01. Sep	1	(1.9, 1)																0	19	19	19														4	6.377	5	5.128																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	5833	sunny beach	.jpg	Resources\Pictures\Positive\5833.jpg	1024	768	01. Sep	1	(1.9, 1)																0	20	20	20														3	9.406	5	11.986																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	1340	women and parrots	.jpg	Resources\Pictures\Positive\1340.jpg	1024	768	01. Sep	1	(1.9, 1)																0	21	21	21														4	5.643	5	Feb 98																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	7325	girl and watermelon	.jpg	Resources\Pictures\Positive\7325.jpg	1024	768	01. Sep	1	(1.9, 1)																0	22	22	22														5	Jun 96	6	3.413																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	7502	disney land	.jpg	Resources\Pictures\Positive\7502.jpg	1024	768	01. Sep	1	(1.9, 1)																0	23	23	23														4	18.384	4	8.525																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	8330	women and trophy	.jpg	Resources\Pictures\Positive\8330.jpg	1024	768	01. Sep	1	(1.9, 1)																0	24	24	24														4	10.342	5	4.364																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
Resources\Pictures\	Positive\	8380	team medals	.jpg	Resources\Pictures\Positive\8380.jpg	1024	768	01. Sep	1	(1.9, 1)																0	25	25	25														5	9.622	5	4.711																		lw	3	2019_Sep_18_1021	EmotionSession	03.01.2003	6.006.293.950.031.180
