p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,139.9550018310547,139.9550018310547,0.0,5.0,5.0,0.0,38.470001220703125,38.470001220703125,0.0,0.0
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,8.406000137329102,8.406000137329102,0.0,5.0,5.0,0.0,9.406999588012695,9.406999588012695,0.0,1.0
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,6.72599983215332,6.72599983215332,0.0,5.0,5.0,0.0,4.513999938964844,4.513999938964844,0.0,2.0
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,9.307000160217285,9.307000160217285,0.0,4.0,4.0,0.0,7.644000053405762,7.644000053405762,0.0,3.0
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,5.692999839782715,5.692999839782715,0.0,4.0,4.0,0.0,3.7139999866485596,3.7139999866485596,0.0,4.0
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,8.277000427246094,8.277000427246094,0.0,4.0,4.0,0.0,5.5289998054504395,5.5289998054504395,0.0,5.0
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,4.993000030517578,4.993000030517578,0.0,4.0,4.0,0.0,13.321000099182129,13.321000099182129,0.0,6.0
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,17.415000915527344,17.415000915527344,0.0,6.0,6.0,0.0,6.125,6.125,0.0,7.0
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.36299991607666,5.36299991607666,0.0,6.0,6.0,0.0,4.830999851226807,4.830999851226807,0.0,8.0
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,5.7270002365112305,5.7270002365112305,0.0,6.0,6.0,0.0,3.430999994277954,3.430999994277954,0.0,9.0
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,5.36299991607666,5.36299991607666,0.0,5.0,5.0,0.0,1.6799999475479126,1.6799999475479126,0.0,10.0
Resources\Pictures\,Positive\,2154,father and son,.jpg,Resources\Pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,7.127999782562256,7.127999782562256,0.0,4.0,4.0,0.0,6.133999824523926,6.133999824523926,0.0,11.0
Resources\Pictures\,Positive\,2304,smiling girl,.jpg,Resources\Pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,7.0,7.0,0.0,6.811999797821045,6.811999797821045,0.0,6.0,6.0,0.0,4.931000232696533,4.931000232696533,0.0,12.0
Resources\Pictures\,Positive\,2311,mother daughter,.jpg,Resources\Pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,7.0,7.0,0.0,7.1579999923706055,7.1579999923706055,0.0,5.0,5.0,0.0,2.930000066757202,2.930000066757202,0.0,13.0
Resources\Pictures\,Positive\,2332,girl and dog,.jpg,Resources\Pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",1.0,8.0,8.0,0.0,8.979999542236328,8.979999542236328,0.0,6.0,6.0,0.0,4.284999847412109,4.284999847412109,0.0,14.0
Resources\Pictures\,Positive\,2550,happy elderly couple,.jpg,Resources\Pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,6.708000183105469,6.708000183105469,0.0,5.0,5.0,0.0,2.5439999103546143,2.5439999103546143,0.0,15.0
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,6.708000183105469,6.708000183105469,0.0,5.0,5.0,0.0,5.508999824523926,5.508999824523926,0.0,16.0
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,7.209000110626221,7.209000110626221,0.0,6.0,6.0,0.0,4.4120001792907715,4.4120001792907715,0.0,17.0
Resources\Pictures\,Positive\,5760,flowers,.jpg,Resources\Pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,7.290999889373779,7.290999889373779,0.0,4.0,4.0,0.0,3.927999973297119,3.927999973297119,0.0,18.0
Resources\Pictures\,Positive\,5831,father and son beach,.jpg,Resources\Pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,7.074999809265137,7.074999809265137,0.0,4.0,4.0,0.0,3.561000108718872,3.561000108718872,0.0,19.0
