Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-09-25_09:51:11,2019-09-25_09:53:08,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,mb,002,2019_Sep_25_0951,StressSession,3.1.3,60.07166309120283,
