feature,value
gsr_min_ma,0.06278521176470589
gsr_max_ma,0.1730550294117647
gsr_mean_ma,0.13949108496078433
gsr_sd_ma,0.0143652134890863
gsr_min_corr_ma,-0.01921524109607843
gsr_max_corr_ma,0.09105457655098038
gsr_mean_corr_ma,0.057490632099999994
gsr_sd_corr_ma,0.0143652134890863
gsr_baseline_mean_ma,0.08200045286078432
gsr_min_zf,0.11666299938529433
gsr_max_zf,0.17603658445033682
gsr_mean_zf,0.14000911761808646
gsr_sd_zf,0.013913385603110553
gsr_min_corr_zf,0.034354342225921444
gsr_max_corr_zf,0.09372792729096394
gsr_mean_corr_zf,0.05770046045871357
gsr_sd_corr_zf,0.013913385603110553
gsr_baseline_mean_zf,0.08230865715937288
emotional rating,5.0
