feature,value
gsr_min_ma,0.07401571176470587
gsr_max_ma,0.1626536294117647
gsr_mean_ma,0.14939124144518273
gsr_sd_ma,0.008353865812041278
gsr_min_corr_ma,-0.007984741096078454
gsr_max_corr_ma,0.08065317655098038
gsr_mean_corr_ma,0.0673907885843984
gsr_sd_corr_ma,0.008353865812041278
gsr_baseline_mean_ma,0.08200045286078432
gsr_min_zf,0.13757824947230188
gsr_max_zf,0.16374115503115144
gsr_mean_zf,0.14992315173982904
gsr_sd_zf,0.006760610859868364
gsr_min_corr_zf,0.055269592312928995
gsr_max_corr_zf,0.08143249787177856
gsr_mean_corr_zf,0.06761449458045614
gsr_sd_corr_zf,0.006760610859868364
gsr_baseline_mean_zf,0.08230865715937288
arousal,5.3
valence,3.23
