p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,2019-09-25_13:44:25,2019-09-25_13:45:18,65.29655552000077,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,75.2166020266668,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,85.20620159999999,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,3,3,20,,,,,,,,,,,,,,,95.20033664000039,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,2154,father and son,.jpg,Resources\Pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,4,4,11,,,,,,,,,,,,,,,105.18875136000133,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,2304,smiling girl,.jpg,Resources\Pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,115.17928789333382,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,2010,smiling man 2,.jpg,Resources\Pictures\Positive\2010.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,6,6,29,,,,,,,,,,,,,,,125.17129685333384,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,7,7,17,,,,,,,,,,,,,,,135.16996309333445,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,145.17082112000026,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,155.14534229333367,None,,,,,,,,,,,,,,,,,,,,,,,mch,003,2019_Sep_25_1344,EmotionSession,3.1.3,60.052731101791736,
