n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,1022.0,snake close up,.jpg,Resources\Pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,10.895999908447266,10.895999908447266,0.0,2.0,2.0,0.0,7.28000020980835,7.28000020980835,0.0,1548.8131103515625,1548.8131103515625,0.0,,0.0
Resources\Pictures\,Negative\,1240.0,spider,.jpg,Resources\Pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,3.7139999866485596,3.7139999866485596,0.0,3.0,3.0,0.0,3.4149999618530273,3.4149999618530273,0.0,1560.8992919921875,1560.8992919921875,0.0,,1.0
Resources\Pictures\,Negative\,1300.0,dog threat 1,.jpg,Resources\Pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,9.526000022888184,9.526000022888184,0.0,5.0,5.0,0.0,6.61299991607666,6.61299991607666,0.0,1574.9547119140625,1574.9547119140625,0.0,,2.0
Resources\Pictures\,Negative\,1302.0, dog threat 2,.jpg,Resources\Pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,10.423999786376953,10.423999786376953,0.0,5.0,5.0,0.0,6.459000110626221,6.459000110626221,0.0,1593.0933837890625,1593.0933837890625,0.0,,3.0
Resources\Pictures\,Negative\,2206.0,fingerprints,.jpg,Resources\Pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,6.610000133514404,6.610000133514404,0.0,4.0,4.0,0.0,1.4989999532699585,1.4989999532699585,0.0,1607.2630615234375,1607.2630615234375,0.0,,4.0
Resources\Pictures\,Negative\,2276.0,child crying,.jpg,Resources\Pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,6.763999938964844,6.763999938964844,0.0,3.0,3.0,0.0,2.4000000953674316,2.4000000953674316,0.0,1616.6192626953125,1616.6192626953125,0.0,,5.0
Resources\Pictures\,Negative\,2278.0,poor children,.jpg,Resources\Pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,4.942999839782715,4.942999839782715,0.0,3.0,3.0,0.0,4.559999942779541,4.559999942779541,0.0,1625.0670166015625,1625.0670166015625,0.0,,6.0
Resources\Pictures\,Negative\,2375.1,famine,.jpg,Resources\Pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,4.815000057220459,4.815000057220459,0.0,2.0,2.0,0.0,3.0,3.0,0.0,1635.537353515625,1635.537353515625,0.0,,7.0
Resources\Pictures\,Negative\,2399.0,headache,.jpg,Resources\Pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,4.881999969482422,4.881999969482422,0.0,3.0,3.0,0.0,2.7179999351501465,2.7179999351501465,0.0,1644.5125732421875,1644.5125732421875,0.0,,8.0
Resources\Pictures\,Negative\,2410.0,math problem,.jpg,Resources\Pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,10.607000350952148,10.607000350952148,0.0,4.0,4.0,0.0,5.843999862670898,5.843999862670898,0.0,1658.9384765625,1658.9384765625,0.0,,9.0
