Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
1	green	440	1.0						0	0	0	0					2019-09-25_13:21:25	2019-09-25_13:22:49															mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
2	green	440	1.0						0	1	1	1																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
3	green	440	1.0						0	2	2	2																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
4	green	440	1.0						0	3	3	3																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
5	green	440	1.0						0	4	4	4																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
6	green	440	1.0						0	5	5	5																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
7	green	440	1.0						0	6	6	6																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
8	green	440	1.0						0	7	7	7																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
9	green	440	1.0						0	8	8	8																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
10	green	440	1.0						0	9	9	9																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
11	green	440	1.0						0	10	10	10																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
12	green	440	1.0						0	11	11	11																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
13	green	440	1.0						0	12	12	12																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
14	green	440	1.0						0	13	13	13																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
15	green	440	1.0						0	14	14	14																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
16	green	440	1.0						0	15	15	15																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
17	green	440	1.0						0	16	16	16																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
18	green	440	1.0						0	17	17	17																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
19	green	440	1.0						0	18	18	18																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
20	green	440	1.0						0	19	19	19																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
21	green	440	1.0						0	20	20	20																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
22	green	440	1.0						0	21	21	21																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
23	green	440	1.0						0	22	22	22																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
24	green	440	1.0						0	23	23	23																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
25	green	440	1.0						0	24	24	24																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
26	green	440	1.0						0	25	25	25																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
27	green	440	1.0						0	26	26	26																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
28	green	440	1.0						0	27	27	27																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
29	green	440	1.0						0	28	28	28																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
30	green	440	1.0						0	29	29	29																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
31	green	440	1.0						0	30	30	30																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
32	green	440	1.0						0	31	31	31																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
33	green	440	1.0						0	32	32	32																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
34	green	440	1.0						0	33	33	33																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
35	green	440	1.0						0	34	34	34																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
36	green	440	1.0						0	35	35	35																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
37	green	440	1.0						0	36	36	36																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
38	green	440	1.0						0	37	37	37																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
39	green	440	1.0						0	38	38	38																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
40	green	440	1.0						0	39	39	39																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
41	green	440	1.0						0	40	40	40																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
42	green	440	1.0						0	41	41	41																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
43	green	440	1.0						0	42	42	42																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
44	green	440	1.0						0	43	43	43																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
45	green	440	1.0						0	44	44	44																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
46	green	440	1.0						0	45	45	45																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
47	green	440	1.0						0	46	46	46																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
48	green	440	1.0						0	47	47	47																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
49	green	440	1.0						0	48	48	48																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
50	green	440	1.0						0	49	49	49																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
51	green	440	1.0						0	50	50	50																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
52	green	440	1.0						0	51	51	51																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
53	green	440	1.0						0	52	52	52																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
54	green	440	1.0						0	53	53	53																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
55	green	440	1.0						0	54	54	54																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
56	green	440	1.0						0	55	55	55																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
57	green	440	1.0						0	56	56	56																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
58	green	440	1.0						0	57	57	57																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
59	green	440	1.0						0	58	58	58																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
60	green	440	1.0						0	59	59	59																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
61	green	440	1.0						0	60	60	60																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
62	green	440	1.0						0	61	61	61																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
63	green	440	1.0						0	62	62	62																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
64	green	440	1.0						0	63	63	63																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
65	green	440	1.0						0	64	64	64																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
66	green	440	1.0						0	65	65	65																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
67	green	440	1.0						0	66	66	66																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
68	green	440	1.0						0	67	67	67																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
69	green	440	1.0						0	68	68	68																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
70	green	440	1.0						0	69	69	69																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
71	green	440	1.0						0	70	70	70																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
72	green	440	1.0						0	71	71	71																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
73	green	440	1.0						0	72	72	72																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
74	green	440	1.0						0	73	73	73																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
75	green	440	1.0						0	74	74	74																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
76	green	440	1.0						0	75	75	75																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
77	green	440	1.0						0	76	76	76																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
78	green	440	1.0						0	77	77	77																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
79	green	440	1.0						0	78	78	78																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
80	green	440	1.0						0	79	79	79																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
81	green	440	1.0						0	80	80	80																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
82	green	440	1.0						0	81	81	81																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
83	green	440	1.0						0	82	82	82																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
84	green	440	1.0						0	83	83	83																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
85	green	440	1.0						0	84	84	84																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
86	green	440	1.0						0	85	85	85																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
87	green	440	1.0						0	86	86	86																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
88	green	440	1.0						0	87	87	87																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
89	green	440	1.0						0	88	88	88																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
90	green	440	1.0						0	89	89	89																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
91	green	440	1.0						0	90	90	90																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
92	green	440	1.0						0	91	91	91																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
93	green	440	1.0						0	92	92	92																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
94	green	440	1.0						0	93	93	93																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
95	green	440	1.0						0	94	94	94																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
96	green	440	1.0						0	95	95	95																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
97	green	440	1.0						0	96	96	96																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
98	green	440	1.0						0	97	97	97																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
99	green	440	1.0						0	98	98	98																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
100	green	440	1.0						0	99	99	99																					mch	2	2019_Sep_25_1321	StressSession	03.01.2003	5.999.170.674.664.610
