feature,value
gsr_min_ma,0.15774500588235296
gsr_max_ma,0.7949182411764706
gsr_mean_ma,0.4834626419117647
gsr_sd_ma,0.13859397279728342
gsr_min_corr_ma,-0.03588496072499997
gsr_max_corr_ma,0.6012882745691177
gsr_mean_corr_ma,0.28983267530441176
gsr_sd_corr_ma,0.13859397279728342
gsr_baseline_mean_ma,0.19362996660735293
gsr_min_zf,0.2968646135948155
gsr_max_zf,0.8362612385949552
gsr_mean_zf,0.48500198380157594
gsr_sd_zf,0.13836099270349989
gsr_min_corr_zf,0.10231768850932893
gsr_max_corr_zf,0.6417143135094686
gsr_mean_corr_zf,0.2904550587160894
gsr_sd_corr_zf,0.13836099270349989
gsr_baseline_mean_zf,0.19454692508548654
arousal,5.06
valence,6.0
