Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
1	green	440	1						0	0	0	0					12:15:37	12:16:48															md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
2	green	440	1						0	1	1	1																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
3	green	440	1						0	2	2	2																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
4	green	440	1						0	3	3	3																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
5	green	440	1						0	4	4	4																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
6	green	440	1						0	5	5	5																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
7	green	440	1						0	6	6	6																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
8	green	440	1						0	7	7	7																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
9	green	440	1						0	8	8	8																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
10	green	440	1						0	9	9	9																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
11	green	440	1						0	10	10	10																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
12	green	440	1						0	11	11	11																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
13	green	440	1						0	12	12	12																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
14	green	440	1						0	13	13	13																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
15	green	440	1						0	14	14	14																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
16	green	440	1						0	15	15	15																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
17	green	440	1						0	16	16	16																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
18	green	440	1						0	17	17	17																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
19	green	440	1						0	18	18	18																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
20	green	440	1						0	19	19	19																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
21	green	440	1						0	20	20	20																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
22	green	440	1						0	21	21	21																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
