feature,value
gsr_min_ma,0.07333294117647059
gsr_max_ma,0.20635724117647058
gsr_mean_ma,0.16400716764705883
gsr_sd_ma,0.02308945658842228
gsr_min_corr_ma,0.003507416499509808
gsr_max_corr_ma,0.1365317164995098
gsr_mean_corr_ma,0.09418164297009804
gsr_sd_corr_ma,0.02308945658842228
gsr_baseline_mean_ma,0.06982552467696078
gsr_min_zf,0.13620467615397944
gsr_max_zf,0.2076006821860794
gsr_mean_zf,0.16461225034696877
gsr_sd_zf,0.02269148950622692
gsr_min_corr_zf,0.06613465166648533
gsr_max_corr_zf,0.1375306576985853
gsr_mean_corr_zf,0.09454222585947465
gsr_sd_corr_zf,0.02269148950622692
gsr_baseline_mean_zf,0.07007002448749411
stress level,2.0
