feature,value
gsr_min_ma,0.034559280000000005
gsr_max_ma,0.3447734647058823
gsr_mean_ma,0.14355953284365736
gsr_sd_ma,0.07777481710104774
gsr_min_corr_ma,-0.035266244676960774
gsr_max_corr_ma,0.27494794002892153
gsr_mean_corr_ma,0.07373400816669658
gsr_sd_corr_ma,0.07777481710104772
gsr_baseline_mean_ma,0.06982552467696078
gsr_min_zf,0.02748558591830743
gsr_max_zf,0.3504258345686902
gsr_mean_zf,0.14429541788094902
gsr_sd_zf,0.07893899272561027
gsr_min_corr_zf,-0.04258443856918668
gsr_max_corr_zf,0.2803558100811961
gsr_mean_corr_zf,0.07422539339345491
gsr_sd_corr_zf,0.07893899272561027
gsr_baseline_mean_zf,0.07007002448749411
stress level,3.0
difficulty level,5.0
