p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,2019-10-05_15:04:03,2019-10-05_15:04:48,57.170797700062394,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,,,67.10329400002956,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,2304,smiling girl,.jpg,Resources\Pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,77.08514370000921,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,87.10422100010328,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,1340,women and parrots,.jpg,Resources\Pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,4,4,21,,,,,,,,,,,,,,,97.10324820014648,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,2058,baby holding hand,.jpg,Resources\Pictures\Positive\2058.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,5,5,30,,,,,,,,,,,,,,,107.08078760001808,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,117.11591250007041,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,127.0941684001591,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,137.09919110010378,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,9,9,24,,,,,,,,,,,,,,,147.1089991000481,None,,,,,,,,,,,,,,,,,,,,,,,mf,003,2019_Oct_05_1504,EmotionSession,3.2.3,59.93525792982294,
