n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,1022.0,snake close up,.jpg,Resources\Pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,15.40999984741211,15.40999984741211,0.0,4.0,4.0,0.0,3.0490000247955322,3.0490000247955322,0.0,1719.7662353515625,1719.7662353515625,0.0,,0.0
Resources\Pictures\,Negative\,1240.0,spider,.jpg,Resources\Pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1.0,1.0,0.0,6.96999979019165,6.96999979019165,0.0,4.0,4.0,0.0,1.9559999704360962,1.9559999704360962,0.0,1730.8944091796875,1730.8944091796875,0.0,,1.0
Resources\Pictures\,Negative\,1300.0,dog threat 1,.jpg,Resources\Pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,13.70300006866455,13.70300006866455,0.0,4.0,4.0,0.0,5.333000183105469,5.333000183105469,0.0,1747.67919921875,1747.67919921875,0.0,,2.0
Resources\Pictures\,Negative\,1302.0, dog threat 2,.jpg,Resources\Pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,17.500999450683594,17.500999450683594,0.0,4.0,4.0,0.0,2.135999917984009,2.135999917984009,0.0,1771.6217041015625,1771.6217041015625,0.0,,3.0
Resources\Pictures\,Negative\,2206.0,fingerprints,.jpg,Resources\Pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,7.103000164031982,7.103000164031982,0.0,4.0,4.0,0.0,1.8339999914169312,1.8339999914169312,0.0,1781.987548828125,1781.987548828125,0.0,,4.0
Resources\Pictures\,Negative\,2276.0,child crying,.jpg,Resources\Pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.239999771118164,6.239999771118164,0.0,3.0,3.0,0.0,2.0239999294281006,2.0239999294281006,0.0,1791.16162109375,1791.16162109375,0.0,,5.0
Resources\Pictures\,Negative\,2278.0,poor children,.jpg,Resources\Pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,4.716000080108643,4.716000080108643,0.0,3.0,3.0,0.0,3.1670000553131104,3.1670000553131104,0.0,1799.03369140625,1799.03369140625,0.0,,6.0
Resources\Pictures\,Negative\,2375.1,famine,.jpg,Resources\Pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,3.2730000019073486,3.2730000019073486,0.0,2.0,2.0,0.0,3.375999927520752,3.375999927520752,0.0,1806.58837890625,1806.58837890625,0.0,,7.0
Resources\Pictures\,Negative\,2399.0,headache,.jpg,Resources\Pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,4.939000129699707,4.939000129699707,0.0,4.0,4.0,0.0,3.421999931335449,3.421999931335449,0.0,1816.0064697265625,1816.0064697265625,0.0,,8.0
Resources\Pictures\,Negative\,2410.0,math problem,.jpg,Resources\Pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1.0,1.0,0.0,6.370999813079834,6.370999813079834,0.0,4.0,4.0,0.0,1.9869999885559082,1.9869999885559082,0.0,1826.9066162109375,1826.9066162109375,0.0,,9.0
Resources\Pictures\,Negative\,2683.0,riot scene 1,.jpg,Resources\Pictures\Negative\2683.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.697999954223633,7.697999954223633,0.0,3.0,3.0,0.0,2.5199999809265137,2.5199999809265137,0.0,1837.7237548828125,1837.7237548828125,0.0,,10.0
Resources\Pictures\,Negative\,2688.0,poacher,.jpg,Resources\Pictures\Negative\2688.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,4.831999778747559,4.831999778747559,0.0,1.0,1.0,0.0,3.500999927520752,3.500999927520752,0.0,1846.205810546875,1846.205810546875,0.0,,11.0
Resources\Pictures\,Negative\,2691.0,riot scene 2,.jpg,Resources\Pictures\Negative\2691.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.048999786376953,5.048999786376953,0.0,3.0,3.0,0.0,3.135999917984009,3.135999917984009,0.0,1855.884765625,1855.884765625,0.0,,12.0
Resources\Pictures\,Negative\,2694.0,prison scene,.jpg,Resources\Pictures\Negative\2694.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,6.684000015258789,6.684000015258789,0.0,3.0,3.0,0.0,4.584000110626221,4.584000110626221,0.0,1866.8333740234375,1866.8333740234375,0.0,,13.0
Resources\Pictures\,Negative\,5971.0,tornado 1,.jpg,Resources\Pictures\Negative\5971.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,16.00200080871582,16.00200080871582,0.0,4.0,4.0,0.0,4.669000148773193,4.669000148773193,0.0,1888.526611328125,1888.526611328125,0.0,,14.0
Resources\Pictures\,Negative\,5972.0,tornado 2,.jpg,Resources\Pictures\Negative\5972.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,5.468999862670898,5.468999862670898,0.0,3.0,3.0,0.0,2.490999937057495,2.490999937057495,0.0,1899.76904296875,1899.76904296875,0.0,,15.0
Resources\Pictures\,Negative\,7380.0,cockroaches food,.jpg,Resources\Pictures\Negative\7380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,5.617000102996826,5.617000102996826,0.0,4.0,4.0,0.0,1.6349999904632568,1.6349999904632568,0.0,1909.00634765625,1909.00634765625,0.0,,16.0
