p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n,rating_emotion_p_eval_o.response_mean,rating_emotion_p_eval_o.response_raw,rating_emotion_p_eval_o.response_std,rating_emotion_p_eval_o.rt_mean,rating_emotion_p_eval_o.rt_raw,rating_emotion_p_eval_o.rt_std,rating_emotion_p_eval_t.response_mean,rating_emotion_p_eval_t.response_raw,rating_emotion_p_eval_t.response_std,rating_emotion_p_eval_t.rt_mean,rating_emotion_p_eval_t.rt_raw,rating_emotion_p_eval_t.rt_std,order
Resources\Pictures\,Positive\,1440,seal,.jpg,Resources\Pictures\Positive\1440.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,37.27199935913086,37.27199935913086,0.0,3.0,3.0,0.0,21.349000930786133,21.349000930786133,0.0,0.0
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,13.812000274658203,13.812000274658203,0.0,5.0,5.0,0.0,1.996999979019165,1.996999979019165,0.0,1.0
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,9.449999809265137,9.449999809265137,0.0,6.0,6.0,0.0,51.53900146484375,51.53900146484375,0.0,2.0
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,6.120999813079834,6.120999813079834,0.0,6.0,6.0,0.0,5.921000003814697,5.921000003814697,0.0,3.0
Resources\Pictures\,Positive\,1750,rabit,.jpg,Resources\Pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,7.349999904632568,7.349999904632568,0.0,4.0,4.0,0.0,7.52400016784668,7.52400016784668,0.0,4.0
Resources\Pictures\,Positive\,1811,group of apes,.jpg,Resources\Pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,6.571000099182129,6.571000099182129,0.0,6.0,6.0,0.0,3.736999988555908,3.736999988555908,0.0,5.0
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,11.196999549865723,11.196999549865723,0.0,4.0,4.0,0.0,2.4040000438690186,2.4040000438690186,0.0,6.0
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,14.1850004196167,14.1850004196167,0.0,5.0,5.0,0.0,4.052999973297119,4.052999973297119,0.0,7.0
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,12.569000244140625,12.569000244140625,0.0,4.0,4.0,0.0,2.874000072479248,2.874000072479248,0.0,8.0
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,6.038000106811523,6.038000106811523,0.0,5.0,5.0,0.0,2.4040000438690186,2.4040000438690186,0.0,9.0
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,4.0,4.0,0.0,7.6020002365112305,7.6020002365112305,0.0,4.0,4.0,0.0,2.2200000286102295,2.2200000286102295,0.0,10.0
Resources\Pictures\,Positive\,2154,father and son,.jpg,Resources\Pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,5.322999954223633,5.322999954223633,0.0,6.0,6.0,0.0,2.572999954223633,2.572999954223633,0.0,11.0
Resources\Pictures\,Positive\,2304,smiling girl,.jpg,Resources\Pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,6.0,6.0,0.0,4.572000026702881,4.572000026702881,0.0,5.0,5.0,0.0,2.990000009536743,2.990000009536743,0.0,12.0
Resources\Pictures\,Positive\,2311,mother daughter,.jpg,Resources\Pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",1.0,5.0,5.0,0.0,5.4679999351501465,5.4679999351501465,0.0,4.0,4.0,0.0,2.253000020980835,2.253000020980835,0.0,13.0
Resources\Pictures\,Positive\,2332,girl and dog,.jpg,Resources\Pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",1.0,8.0,8.0,0.0,11.154000282287598,11.154000282287598,0.0,5.0,5.0,0.0,3.796999931335449,3.796999931335449,0.0,14.0
Resources\Pictures\,Positive\,2550,happy elderly couple,.jpg,Resources\Pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,10.331999778747559,10.331999778747559,0.0,5.0,5.0,0.0,6.248000144958496,6.248000144958496,0.0,15.0
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,7.901000022888184,7.901000022888184,0.0,4.0,4.0,0.0,3.746000051498413,3.746000051498413,0.0,16.0
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,9.25100040435791,9.25100040435791,0.0,4.0,4.0,0.0,6.335999965667725,6.335999965667725,0.0,17.0
