Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-10-05_14:38:23,2019-10-05_14:40:06,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
13,green,440,1.0,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
14,green,440,1.0,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
15,green,440,1.0,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
16,green,440,1.0,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
17,green,440,1.0,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
18,green,440,1.0,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
19,green,440,1.0,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
20,green,440,1.0,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
21,green,440,1.0,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,mf,002,2019_Oct_05_1438,StressSession,3.2.3,60.02988283766041,
