n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,1022.0,snake close up,.jpg,Resources\Pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,22.902000427246094,22.902000427246094,0.0,4.0,4.0,0.0,38.12099838256836,38.12099838256836,0.0,1620.17822265625,1620.17822265625,0.0,,0.0
Resources\Pictures\,Negative\,1240.0,spider,.jpg,Resources\Pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,9.0,9.0,0.0,10.925999641418457,10.925999641418457,0.0,1.0,1.0,0.0,3.946000099182129,3.946000099182129,0.0,1670.3345947265625,1670.3345947265625,0.0,,1.0
Resources\Pictures\,Negative\,1300.0,dog threat 1,.jpg,Resources\Pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,7.159999847412109,7.159999847412109,0.0,3.0,3.0,0.0,5.229000091552734,5.229000091552734,0.0,1682.540283203125,1682.540283203125,0.0,,2.0
Resources\Pictures\,Negative\,1302.0, dog threat 2,.jpg,Resources\Pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,8.208999633789062,8.208999633789062,0.0,4.0,4.0,0.0,8.243000030517578,8.243000030517578,0.0,1697.079345703125,1697.079345703125,0.0,,3.0
Resources\Pictures\,Negative\,2206.0,fingerprints,.jpg,Resources\Pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1.0,1.0,0.0,10.557000160217285,10.557000160217285,0.0,4.0,4.0,0.0,5.7769999504089355,5.7769999504089355,0.0,1716.980712890625,1716.980712890625,0.0,,4.0
Resources\Pictures\,Negative\,2276.0,child crying,.jpg,Resources\Pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,45.68000030517578,45.68000030517578,0.0,3.0,3.0,0.0,6.927999973297119,6.927999973297119,0.0,1769.5355224609375,1769.5355224609375,0.0,,5.0
Resources\Pictures\,Negative\,2278.0,poor children,.jpg,Resources\Pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,8.67300033569336,8.67300033569336,0.0,2.0,2.0,0.0,2.9119999408721924,2.9119999408721924,0.0,1786.2413330078125,1786.2413330078125,0.0,,6.0
Resources\Pictures\,Negative\,2375.1,famine,.jpg,Resources\Pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,4.663000106811523,4.663000106811523,0.0,1.0,1.0,0.0,2.450000047683716,2.450000047683716,0.0,1794.91259765625,1794.91259765625,0.0,,7.0
Resources\Pictures\,Negative\,2399.0,headache,.jpg,Resources\Pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,13.324000358581543,13.324000358581543,0.0,4.0,4.0,0.0,5.013999938964844,5.013999938964844,0.0,1811.782958984375,1811.782958984375,0.0,,8.0
Resources\Pictures\,Negative\,2410.0,math problem,.jpg,Resources\Pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,9.225000381469727,9.225000381469727,0.0,5.0,5.0,0.0,6.960000038146973,6.960000038146973,0.0,1827.1224365234375,1827.1224365234375,0.0,,9.0
