Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-09-26_11:36:37,2019-09-26_11:38:15,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
13,green,440,1.0,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,pg,002,2019_Sep_26_1136,StressSession,3.1.3,59.984823046462786,
