Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
1	green	440	1.0						0	0	0	0					2019-09-26_11:36:37	2019-09-26_11:38:15															pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
2	green	440	1.0						0	1	1	1																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
3	green	440	1.0						0	2	2	2																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
4	green	440	1.0						0	3	3	3																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
5	green	440	1.0						0	4	4	4																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
6	green	440	1.0						0	5	5	5																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
7	green	440	1.0						0	6	6	6																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
8	green	440	1.0						0	7	7	7																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
9	green	440	1.0						0	8	8	8																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
10	green	440	1.0						0	9	9	9																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
11	green	440	1.0						0	10	10	10																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
12	green	440	1.0						0	11	11	11																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
13	green	440	1.0						0	12	12	12																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
14	green	440	1.0						0	13	13	13																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
15	green	440	1.0						0	14	14	14																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
16	green	440	1.0						0	15	15	15																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
17	green	440	1.0						0	16	16	16																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
18	green	440	1.0						0	17	17	17																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
19	green	440	1.0						0	18	18	18																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
20	green	440	1.0						0	19	19	19																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
21	green	440	1.0						0	20	20	20																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
22	green	440	1.0						0	21	21	21																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
23	green	440	1.0						0	22	22	22																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
24	green	440	1.0						0	23	23	23																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
25	green	440	1.0						0	24	24	24																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
26	green	440	1.0						0	25	25	25																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
27	green	440	1.0						0	26	26	26																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
28	green	440	1.0						0	27	27	27																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
29	green	440	1.0						0	28	28	28																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
30	green	440	1.0						0	29	29	29																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
31	green	440	1.0						0	30	30	30																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
32	green	440	1.0						0	31	31	31																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
33	green	440	1.0						0	32	32	32																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
34	green	440	1.0						0	33	33	33																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
35	green	440	1.0						0	34	34	34																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
36	green	440	1.0						0	35	35	35																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
37	green	440	1.0						0	36	36	36																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
38	green	440	1.0						0	37	37	37																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
39	green	440	1.0						0	38	38	38																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
40	green	440	1.0						0	39	39	39																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
41	green	440	1.0						0	40	40	40																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
42	green	440	1.0						0	41	41	41																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
43	green	440	1.0						0	42	42	42																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
44	green	440	1.0						0	43	43	43																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
45	green	440	1.0						0	44	44	44																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
46	green	440	1.0						0	45	45	45																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
47	green	440	1.0						0	46	46	46																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
48	green	440	1.0						0	47	47	47																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
49	green	440	1.0						0	48	48	48																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
50	green	440	1.0						0	49	49	49																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
51	green	440	1.0						0	50	50	50																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
52	green	440	1.0						0	51	51	51																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
