p_path,p_weight,p_name,p_description,p_type,p_pictures,p_pic_width,p_pic_height,p_new_width,p_new_height,p_new_size,n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,emotion_trials_p.thisRepN,emotion_trials_p.thisTrialN,emotion_trials_p.thisN,emotion_trials_p.thisIndex,emotion_evaluation_p.thisRepN,emotion_evaluation_p.thisTrialN,emotion_evaluation_p.thisN,emotion_evaluation_p.thisIndex,emotion_trials_n.thisRepN,emotion_trials_n.thisTrialN,emotion_trials_n.thisN,emotion_trials_n.thisIndex,emotion_evaluation_n.thisRepN,emotion_evaluation_n.thisTrialN,emotion_evaluation_n.thisN,emotion_evaluation_n.thisIndex,start_session_three,start_emotion_one,image_emotion_p.started,image_emotion_p.stopped,end_emotion_one,rating_emotion_p_eval_o.response,rating_emotion_p_eval_o.rt,rating_emotion_p_eval_t.response,rating_emotion_p_eval_t.rt,key_resp_cooldown_instructions.keys,key_resp_cooldown_instructions.rt,start_cooldown_measurement,end_cooldown_measurement,rating_cooldown_evaluation.response,rating_cooldown_evaluation.rt,start_emotion_two,image_emotion_n.started,image_emotion_n.stopped,end_emotion_two,rating_emotion_n_eval_o.response,rating_emotion_n_eval_o.rt,text_emotion_n_eval_t.started,text_emotion_n_eval_t.stopped,rating_emotion_n_eval_t.response,rating_emotion_n_eval_t.rt,end_session_three,participant,session,date,expName,psychopyVersion,frameRate,
Resources\Pictures\,Positive\,7502,disney land,.jpg,Resources\Pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,0,0,23,,,,,,,,,,,,,2019-10-05_17:09:50,2019-10-05_17:10:17,40.21262190002017,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,1710,three dogs,.jpg,Resources\Pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,50.1871937001124,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,5833,sunny beach,.jpg,Resources\Pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,2,2,20,,,,,,,,,,,,,,,60.18535460019484,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,1340,women and parrots,.jpg,Resources\Pictures\Positive\1340.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,3,3,21,,,,,,,,,,,,,,,70.19680410018191,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2005,smiling man,.jpg,Resources\Pictures\Positive\2005.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,4,4,28,,,,,,,,,,,,,,,80.1706412001513,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,8380,team medals,.jpg,Resources\Pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,5,5,25,,,,,,,,,,,,,,,90.18562470003963,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,7325,girl and watermelon,.jpg,Resources\Pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,6,6,22,,,,,,,,,,,,,,,100.17284460016526,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2070,baby suprise,.jpg,Resources\Pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,110.18277150020003,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2071,baby smiling,.jpg,Resources\Pictures\Positive\2071.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,8,8,31,,,,,,,,,,,,,,,120.17466250015423,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2040,baby on belly,.jpg,Resources\Pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,130.17868870007806,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,4626,marriage scene,.jpg,Resources\Pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,10,10,17,,,,,,,,,,,,,,,140.18797510000877,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2550,happy elderly couple,.jpg,Resources\Pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,11,11,15,,,,,,,,,,,,,,,150.18856540019624,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,1460,tiger cub,.jpg,Resources\Pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,12,12,1,,,,,,,,,,,,,,,160.18935710005462,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,1601,man feeding giraffe,.jpg,Resources\Pictures\Positive\1601.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,13,13,27,,,,,,,,,,,,,,,170.1905983001925,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2057,sitting baby,.jpg,Resources\Pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,180.17776280012913,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,5760,flowers,.jpg,Resources\Pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,190.17747450014576,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2058,baby holding hand,.jpg,Resources\Pictures\Positive\2058.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,16,16,30,,,,,,,,,,,,,,,200.1874643000774,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,1463,group of cats,.jpg,Resources\Pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,17,17,2,,,,,,,,,,,,,,,210.1879316000268,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,1942,group of turtles,.jpg,Resources\Pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,18,18,6,,,,,,,,,,,,,,,220.18520550010726,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,8497,family on rollercoaster,.jpg,Resources\Pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,19,19,26,,,,,,,,,,,,,,,230.16221010009758,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2655,boy and dog,.jpg,Resources\Pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,20,20,16,,,,,,,,,,,,,,,240.18044090014882,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2154,father and son,.jpg,Resources\Pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,21,21,11,,,,,,,,,,,,,,,250.17771359998733,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2091,children and kitten,.jpg,Resources\Pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,22,22,10,,,,,,,,,,,,,,,260.15622150013223,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,8330,women and trophy,.jpg,Resources\Pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,0,23,23,24,,,,,,,,,,,,,,,270.1584083000198,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2332,girl and dog,.jpg,Resources\Pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",,,,,,,,,,,,0,24,24,14,,,,,,,,,,,,,,,280.169668200193,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
Resources\Pictures\,Positive\,2311,mother daughter,.jpg,Resources\Pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,,,,0,25,25,13,,,,,,,,,,,,,,,290.19025560002774,None,,,,,,,,,,,,,,,,,,,,,,,rs,003,2019_Oct_05_1709,EmotionSession,3.2.3,59.85780183812459,
