n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,1022.0,snake close up,.jpg,Resources\Pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,19.361000061035156,19.361000061035156,0.0,3.0,3.0,0.0,4.076000213623047,4.076000213623047,0.0,1862.5455322265625,1862.5455322265625,0.0,,0.0
Resources\Pictures\,Negative\,1240.0,spider,.jpg,Resources\Pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.841000080108643,7.841000080108643,0.0,3.0,3.0,0.0,50.279998779296875,50.279998779296875,0.0,1875.573974609375,1875.573974609375,0.0,,1.0
Resources\Pictures\,Negative\,1300.0,dog threat 1,.jpg,Resources\Pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,14.517000198364258,14.517000198364258,0.0,2.0,2.0,0.0,4.02400016784668,4.02400016784668,0.0,1941.496337890625,1941.496337890625,0.0,,2.0
Resources\Pictures\,Negative\,1302.0, dog threat 2,.jpg,Resources\Pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,6.839000225067139,6.839000225067139,0.0,4.0,4.0,0.0,9.03600025177002,9.03600025177002,0.0,1953.4736328125,1953.4736328125,0.0,,3.0
Resources\Pictures\,Negative\,2206.0,fingerprints,.jpg,Resources\Pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,3.0,3.0,0.0,9.855999946594238,9.855999946594238,0.0,3.0,3.0,0.0,4.15500020980835,4.15500020980835,0.0,1973.48681640625,1973.48681640625,0.0,,4.0
Resources\Pictures\,Negative\,2276.0,child crying,.jpg,Resources\Pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,8.27299976348877,8.27299976348877,0.0,1.0,1.0,0.0,4.074999809265137,4.074999809265137,0.0,1987.0301513671875,1987.0301513671875,0.0,,5.0
Resources\Pictures\,Negative\,2278.0,poor children,.jpg,Resources\Pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,8.0,8.0,0.0,5.120999813079834,5.120999813079834,0.0,2.0,2.0,0.0,3.2709999084472656,3.2709999084472656,0.0,1997.347900390625,1997.347900390625,0.0,,6.0
Resources\Pictures\,Negative\,2375.1,famine,.jpg,Resources\Pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,10.0,10.0,0.0,4.388000011444092,4.388000011444092,0.0,1.0,1.0,0.0,1.9259999990463257,1.9259999990463257,0.0,2006.1253662109375,2006.1253662109375,0.0,,7.0
Resources\Pictures\,Negative\,2399.0,headache,.jpg,Resources\Pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,8.607000350952148,8.607000350952148,0.0,3.0,3.0,0.0,14.904999732971191,14.904999732971191,0.0,2017.7738037109375,2017.7738037109375,0.0,,8.0
Resources\Pictures\,Negative\,2410.0,math problem,.jpg,Resources\Pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,7.104000091552734,7.104000091552734,0.0,2.0,2.0,0.0,3.3889999389648438,3.3889999389648438,0.0,2040.9039306640625,2040.9039306640625,0.0,,9.0
