Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-10-05_16:44:01,2019-10-05_16:45:14,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
13,green,440,1.0,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
14,green,440,1.0,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
15,green,440,1.0,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
16,green,440,1.0,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
17,green,440,1.0,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
18,green,440,1.0,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
19,green,440,1.0,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
20,green,440,1.0,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
21,green,440,1.0,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
22,green,440,1.0,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
23,green,440,1.0,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
24,green,440,1.0,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
25,green,440,1.0,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,rs,002,2019_Oct_05_1644,StressSession,3.2.3,60.00078000210939,
