n_path,n_weight,n_name,n_description,n_type,n_pictures,n_pic_width,n_pic_height,n_new_width,n_new_height,n_new_size,n,rating_emotion_n_eval_o.response_mean,rating_emotion_n_eval_o.response_raw,rating_emotion_n_eval_o.response_std,rating_emotion_n_eval_o.rt_mean,rating_emotion_n_eval_o.rt_raw,rating_emotion_n_eval_o.rt_std,rating_emotion_n_eval_t.response_mean,rating_emotion_n_eval_t.response_raw,rating_emotion_n_eval_t.response_std,rating_emotion_n_eval_t.rt_mean,rating_emotion_n_eval_t.rt_raw,rating_emotion_n_eval_t.rt_std,text_emotion_n_eval_t.started_mean,text_emotion_n_eval_t.started_raw,text_emotion_n_eval_t.started_std,text_emotion_n_eval_t.stopped_raw,order
Resources\Pictures\,Negative\,1022.0,snake close up,.jpg,Resources\Pictures\Negative\1022.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,18.253999710083008,18.253999710083008,0.0,1.0,1.0,0.0,9.810999870300293,9.810999870300293,0.0,1791.1287841796875,1791.1287841796875,0.0,,0.0
Resources\Pictures\,Negative\,1240.0,spider,.jpg,Resources\Pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.875,6.875,0.0,1.0,1.0,0.0,6.795000076293945,6.795000076293945,0.0,1808.91015625,1808.91015625,0.0,,1.0
Resources\Pictures\,Negative\,1300.0,dog threat 1,.jpg,Resources\Pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.743000030517578,5.743000030517578,0.0,1.0,1.0,0.0,5.060999870300293,5.060999870300293,0.0,1822.551025390625,1822.551025390625,0.0,,2.0
Resources\Pictures\,Negative\,1302.0, dog threat 2,.jpg,Resources\Pictures\Negative\1302.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.361000061035156,5.361000061035156,0.0,1.0,1.0,0.0,1.2949999570846558,1.2949999570846558,0.0,1834.0772705078125,1834.0772705078125,0.0,,3.0
Resources\Pictures\,Negative\,2206.0,fingerprints,.jpg,Resources\Pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,2.0,2.0,0.0,7.626999855041504,7.626999855041504,0.0,1.0,1.0,0.0,8.723999977111816,8.723999977111816,0.0,1844.10009765625,1844.10009765625,0.0,,4.0
Resources\Pictures\,Negative\,2276.0,child crying,.jpg,Resources\Pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,5.86299991607666,5.86299991607666,0.0,1.0,1.0,0.0,4.8979997634887695,4.8979997634887695,0.0,1859.7830810546875,1859.7830810546875,0.0,,5.0
Resources\Pictures\,Negative\,2278.0,poor children,.jpg,Resources\Pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,6.525000095367432,6.525000095367432,0.0,1.0,1.0,0.0,3.9609999656677246,3.9609999656677246,0.0,1872.3114013671875,1872.3114013671875,0.0,,6.0
Resources\Pictures\,Negative\,2375.1,famine,.jpg,Resources\Pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.914000034332275,5.914000034332275,0.0,1.0,1.0,0.0,4.331999778747559,4.331999778747559,0.0,1883.281494140625,1883.281494140625,0.0,,7.0
Resources\Pictures\,Negative\,2399.0,headache,.jpg,Resources\Pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.28000020980835,6.28000020980835,0.0,1.0,1.0,0.0,7.461999893188477,7.461999893188477,0.0,1894.9884033203125,1894.9884033203125,0.0,,8.0
Resources\Pictures\,Negative\,2410.0,math problem,.jpg,Resources\Pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,7.993000030517578,7.993000030517578,0.0,1.0,1.0,0.0,7.061999797821045,7.061999797821045,0.0,1911.5423583984375,1911.5423583984375,0.0,,9.0
Resources\Pictures\,Negative\,2683.0,riot scene 1,.jpg,Resources\Pictures\Negative\2683.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.041999816894531,5.041999816894531,0.0,1.0,1.0,0.0,6.973999977111816,6.973999977111816,0.0,1924.7525634765625,1924.7525634765625,0.0,,10.0
Resources\Pictures\,Negative\,2688.0,poacher,.jpg,Resources\Pictures\Negative\2688.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,5.0,5.0,0.0,6.326000213623047,6.326000213623047,0.0,1.0,1.0,0.0,6.309000015258789,6.309000015258789,0.0,1939.1571044921875,1939.1571044921875,0.0,,11.0
Resources\Pictures\,Negative\,2691.0,riot scene 2,.jpg,Resources\Pictures\Negative\2691.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.3420000076293945,5.3420000076293945,0.0,1.0,1.0,0.0,8.175000190734863,8.175000190734863,0.0,1951.911376953125,1951.911376953125,0.0,,12.0
Resources\Pictures\,Negative\,2694.0,prison scene,.jpg,Resources\Pictures\Negative\2694.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,6.0,6.0,0.0,6.506999969482422,6.506999969482422,0.0,1.0,1.0,0.0,3.0280001163482666,3.0280001163482666,0.0,1967.6995849609375,1967.6995849609375,0.0,,13.0
Resources\Pictures\,Negative\,5971.0,tornado 1,.jpg,Resources\Pictures\Negative\5971.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.946000099182129,5.946000099182129,0.0,1.0,1.0,0.0,5.230000019073486,5.230000019073486,0.0,1977.7711181640625,1977.7711181640625,0.0,,14.0
Resources\Pictures\,Negative\,5972.0,tornado 2,.jpg,Resources\Pictures\Negative\5972.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,12.074000358581543,12.074000358581543,0.0,1.0,1.0,0.0,8.894000053405762,8.894000053405762,0.0,1996.172607421875,1996.172607421875,0.0,,15.0
Resources\Pictures\,Negative\,7380.0,cockroaches food,.jpg,Resources\Pictures\Negative\7380.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,7.0,7.0,0.0,5.728000164031982,5.728000164031982,0.0,1.0,1.0,0.0,2.5789999961853027,2.5789999961853027,0.0,2011.895751953125,2011.895751953125,0.0,,16.0
