Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-09-18_09:57:26,2019-09-18_09:58:29,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
13,green,440,1.0,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
14,green,440,1.0,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
15,green,440,1.0,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,lw,002,2019_Sep_18_0957,StressSession,3.1.3,60.06632598129716,
