WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,n,key_resp_part_two_meas.keys_raw,key_resp_part_two_meas.rt_mean,key_resp_part_two_meas.rt_raw,key_resp_part_two_meas.rt_std,key_resp_part_two_meas.started_mean,key_resp_part_two_meas.started_raw,key_resp_part_two_meas.started_std,key_resp_part_two_meas.stopped_raw,order
red,blue,red,blue,right,1.0,'right',0.6243858337402344,0.6243858337402344,0.0,909.0493774414062,909.0493774414062,0.0,,110.0
red,green,red,green,right,1.0,'left',1.6222738027572632,1.6222738027572632,0.0,723.267578125,723.267578125,0.0,,1.0
red,magenta,red,magenta,right,1.0,'right',1.378733515739441,1.378733515739441,0.0,939.7592163085938,939.7592163085938,0.0,,131.0
red,cyan,red,cyan,right,1.0,'right',0.903620183467865,0.903620183467865,0.0,759.9537353515625,759.9537353515625,0.0,,19.0
red,yellow,red,yellow,right,1.0,'right',0.745944082736969,0.745944082736969,0.0,905.8958129882812,905.8958129882812,0.0,,108.0
red,orange,red,orange,right,1.0,'right',1.9667446613311768,1.9667446613311768,0.0,751.3466186523438,751.3466186523438,0.0,,15.0
red,purple,red,purple,right,1.0,'right',1.0902891159057617,1.0902891159057617,0.0,823.1032104492188,823.1032104492188,0.0,,56.0
red,brown,red,brown,right,1.0,'right',1.1497865915298462,1.1497865915298462,0.0,770.8120727539062,770.8120727539062,0.0,,25.0
red,white,red,white,right,1.0,'right',0.9929275512695312,0.9929275512695312,0.0,1022.9046020507812,1022.9046020507812,0.0,,184.0
red,black,red,black,right,1.0,'right',1.711719036102295,1.711719036102295,0.0,805.5941162109375,805.5941162109375,0.0,,45.0
blue,green,blue,green,right,1.0,'right',0.7855908274650574,0.7855908274650574,0.0,948.5523071289062,948.5523071289062,0.0,,137.0
blue,magenta,blue,magenta,right,1.0,'right',0.8583328723907471,0.8583328723907471,0.0,830.7353515625,830.7353515625,0.0,,61.0
blue,cyan,blue,cyan,right,1.0,'right',0.8179155588150024,0.8179155588150024,0.0,1046.44775390625,1046.44775390625,0.0,,199.0
blue,yellow,blue,yellow,right,1.0,'right',1.034014344215393,1.034014344215393,0.0,1052.76806640625,1052.76806640625,0.0,,203.0
blue,orange,blue,orange,right,1.0,'right',0.8887717723846436,0.8887717723846436,0.0,889.9526977539062,889.9526977539062,0.0,,98.0
blue,purple,blue,purple,right,1.0,'right',1.064604640007019,1.064604640007019,0.0,973.8333129882812,973.8333129882812,0.0,,153.0
blue,brown,blue,brown,right,1.0,'right',1.2639741897583008,1.2639741897583008,0.0,774.3453369140625,774.3453369140625,0.0,,27.0
blue,white,blue,white,right,1.0,'right',0.8723348379135132,0.8723348379135132,0.0,885.0894165039062,885.0894165039062,0.0,,95.0
