path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_meas_neg.started_mean,image_emotion_meas_neg.started_raw,image_emotion_meas_neg.started_std,image_emotion_meas_neg.stopped_raw,rating_emotion_evaluation_neg.response_mean,rating_emotion_evaluation_neg.response_raw,rating_emotion_evaluation_neg.response_std,rating_emotion_evaluation_neg.rt_mean,rating_emotion_evaluation_neg.rt_raw,rating_emotion_evaluation_neg.rt_std,order
resources\pictures\,Negative\,1112.0,snake at feet,.jpg,resources\pictures\Negative\1112.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,965.4299926757812,965.4299926757812,0.0,,2.0,2.0,0.0,2.1619999408721924,2.1619999408721924,0.0,14.0
resources\pictures\,Negative\,1240.0,spider,.jpg,resources\pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,952.69140625,952.69140625,0.0,,2.0,2.0,0.0,2.694000005722046,2.694000005722046,0.0,13.0
resources\pictures\,Negative\,1300.0,dog threat 1,.jpg,resources\pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1114.907958984375,1114.907958984375,0.0,,2.0,2.0,0.0,3.1510000228881836,3.1510000228881836,0.0,25.0
resources\pictures\,Negative\,1301.0, dog threat 2,.jpg,resources\pictures\Negative\1301.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,847.7560424804688,847.7560424804688,0.0,,2.0,2.0,0.0,1.9040000438690186,1.9040000438690186,0.0,5.0
resources\pictures\,Negative\,2206.0,fingerprints,.jpg,resources\pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1139.78125,1139.78125,0.0,,2.0,2.0,0.0,2.3929998874664307,2.3929998874664307,0.0,27.0
resources\pictures\,Negative\,2221.0,judge,.jpg,resources\pictures\Negative\2221.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1128.1138916015625,1128.1138916015625,0.0,,2.0,2.0,0.0,1.6100000143051147,1.6100000143051147,0.0,26.0
resources\pictures\,Negative\,2276.0,child crying,.jpg,resources\pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1063.736572265625,1063.736572265625,0.0,,2.0,2.0,0.0,1.7940000295639038,1.7940000295639038,0.0,21.0
resources\pictures\,Negative\,2278.0,poor children,.jpg,resources\pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,997.5344848632812,997.5344848632812,0.0,,3.0,3.0,0.0,2.7660000324249268,2.7660000324249268,0.0,16.0
resources\pictures\,Negative\,2375.1,famine,.jpg,resources\pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,859.7135009765625,859.7135009765625,0.0,,2.0,2.0,0.0,1.7920000553131104,1.7920000553131104,0.0,6.0
resources\pictures\,Negative\,2399.0,headache,.jpg,resources\pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,897.8809204101562,897.8809204101562,0.0,,2.0,2.0,0.0,3.5490000247955322,3.5490000247955322,0.0,9.0
resources\pictures\,Negative\,2410.0,math problem,.jpg,resources\pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,924.0296630859375,924.0296630859375,0.0,,2.0,2.0,0.0,6.38100004196167,6.38100004196167,0.0,11.0
resources\pictures\,Negative\,2683.0,riot scene 1,.jpg,resources\pictures\Negative\2683.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,787.1314086914062,787.1314086914062,0.0,,2.0,2.0,0.0,1.7910000085830688,1.7910000085830688,0.0,0.0
resources\pictures\,Negative\,2688.0,poacher,.jpg,resources\pictures\Negative\2688.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1090.5560302734375,1090.5560302734375,0.0,,2.0,2.0,0.0,1.9609999656677246,1.9609999656677246,0.0,23.0
resources\pictures\,Negative\,2691.0,riot scene 2,.jpg,resources\pictures\Negative\2691.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,977.65771484375,977.65771484375,0.0,,3.0,3.0,0.0,9.807999610900879,9.807999610900879,0.0,15.0
resources\pictures\,Negative\,2694.0,prison scene,.jpg,resources\pictures\Negative\2694.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,811.3899536132812,811.3899536132812,0.0,,2.0,2.0,0.0,3.0869998931884766,3.0869998931884766,0.0,2.0
