Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_part_one.response,rating_part_one.rt,participant,session,date,expName,psychopyVersion,frameRate,
2,green,0,0,0,0,8.534524300004705,None,32.08354940000572,None,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
3,green,0,1,1,1,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
4,green,0,2,2,2,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
5,green,0,3,3,3,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
6,green,0,4,4,4,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
7,green,0,5,5,5,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
8,green,0,6,6,6,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
9,green,0,7,7,7,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
10,green,0,8,8,8,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
11,green,0,9,9,9,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
12,green,0,10,10,10,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
13,green,0,11,11,11,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
14,green,0,12,12,12,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
15,green,0,13,13,13,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
16,green,0,14,14,14,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
17,green,0,15,15,15,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
18,green,0,16,16,16,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
19,green,0,17,17,17,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
20,green,0,18,18,18,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
21,green,0,19,19,19,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
22,green,0,20,20,20,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
23,green,0,21,21,21,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
24,green,0,22,22,22,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
25,green,0,23,23,23,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
26,green,0,24,24,24,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
27,green,0,25,25,25,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
28,green,0,26,26,26,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
29,green,0,27,27,27,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
30,green,0,28,28,28,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
31,green,0,29,29,29,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
32,green,0,30,30,30,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
33,green,0,31,31,31,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
34,green,0,32,32,32,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
35,green,0,33,33,33,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
36,green,0,34,34,34,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
37,green,0,35,35,35,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
38,green,0,36,36,36,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
39,green,0,37,37,37,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
40,green,0,38,38,38,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
41,green,0,39,39,39,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
42,green,0,40,40,40,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
43,green,0,41,41,41,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
44,green,0,42,42,42,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
45,green,0,43,43,43,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
46,green,0,44,44,44,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
47,green,0,45,45,45,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
48,green,0,46,46,46,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
49,green,0,47,47,47,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
50,green,0,48,48,48,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
51,green,0,49,49,49,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
52,green,0,50,50,50,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
53,green,0,51,51,51,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
54,green,0,52,52,52,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
55,green,0,53,53,53,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
56,green,0,54,54,54,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
57,green,0,55,55,55,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
58,green,0,56,56,56,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
59,green,0,57,57,57,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
60,green,0,58,58,58,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
61,green,0,59,59,59,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
62,green,0,60,60,60,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
63,green,0,61,61,61,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
64,green,0,62,62,62,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
65,green,0,63,63,63,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
66,green,0,64,64,64,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
67,green,0,65,65,65,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
