Tick,Color,n,order
2,green,1.0,0.0
3,green,1.0,1.0
4,green,1.0,2.0
5,green,1.0,3.0
6,green,1.0,4.0
7,green,1.0,5.0
8,green,1.0,6.0
9,green,1.0,7.0
10,green,1.0,8.0
11,green,1.0,9.0
12,green,1.0,10.0
13,green,1.0,11.0
14,green,1.0,12.0
15,green,1.0,13.0
16,green,1.0,14.0
17,green,1.0,15.0
18,green,1.0,16.0
19,green,1.0,17.0
20,green,1.0,18.0
21,green,1.0,19.0
22,green,1.0,20.0
23,green,1.0,21.0
24,green,1.0,22.0
25,green,1.0,23.0
26,green,1.0,24.0
27,green,1.0,25.0
28,green,1.0,26.0
29,green,1.0,27.0
30,green,1.0,28.0
31,green,1.0,29.0
32,green,1.0,30.0
33,green,1.0,31.0
34,green,1.0,32.0
35,green,1.0,33.0
36,green,1.0,34.0
37,green,1.0,35.0
38,green,1.0,36.0
39,green,1.0,37.0
40,green,1.0,38.0
41,green,1.0,39.0
42,green,1.0,40.0
43,green,1.0,41.0
44,green,1.0,42.0
45,green,1.0,43.0
46,green,1.0,44.0
47,green,1.0,45.0
48,green,1.0,46.0
49,green,1.0,47.0
50,green,1.0,48.0
51,green,1.0,49.0
52,green,1.0,50.0
53,green,1.0,51.0
54,green,1.0,52.0
55,green,1.0,53.0
56,green,1.0,54.0
57,green,1.0,55.0
58,green,1.0,56.0
59,green,1.0,57.0
60,green,1.0,58.0
61,green,1.0,59.0
62,green,1.0,60.0
63,green,1.0,61.0
64,green,1.0,62.0
65,green,1.0,63.0
66,green,1.0,64.0
67,green,1.0,65.0
68,green,1.0,66.0
69,green,1.0,67.0
70,green,1.0,68.0
71,green,1.0,69.0
72,green,1.0,70.0
73,green,1.0,71.0
74,green,1.0,72.0
75,green,1.0,73.0
76,green,1.0,74.0
77,green,1.0,75.0
78,green,1.0,76.0
79,green,1.0,77.0
80,green,1.0,78.0
81,green,1.0,79.0
82,green,1.0,80.0
83,green,1.0,81.0
84,green,1.0,82.0
85,green,1.0,83.0
86,green,1.0,84.0
87,green,1.0,85.0
88,green,1.0,86.0
89,green,1.0,87.0
90,green,1.0,88.0
91,green,1.0,89.0
92,green,1.0,90.0
93,green,1.0,91.0
94,green,1.0,92.0
95,green,1.0,93.0
96,green,1.0,94.0
97,green,1.0,95.0
98,green,1.0,96.0
99,green,1.0,97.0
100,green,1.0,98.0
101,green,1.0,99.0
102,green,1.0,100.0
103,green,1.0,101.0
104,green,1.0,102.0
105,green,1.0,103.0
106,green,1.0,104.0
107,green,1.0,105.0
108,green,1.0,106.0
109,green,1.0,107.0
110,green,1.0,108.0
111,green,1.0,109.0
112,green,1.0,110.0
113,green,1.0,111.0
114,green,1.0,112.0
115,green,1.0,113.0
116,green,1.0,114.0
117,green,1.0,115.0
118,green,1.0,116.0
119,green,1.0,117.0
120,green,1.0,118.0
121,green,1.0,119.0
122,green,1.0,120.0
123,green,1.0,121.0
124,green,1.0,122.0
125,green,1.0,123.0
126,green,1.0,124.0
127,green,1.0,125.0
128,green,1.0,126.0
129,green,1.0,127.0
130,green,1.0,128.0
131,green,1.0,129.0
132,green,1.0,130.0
133,green,1.0,131.0
134,green,1.0,132.0
135,green,1.0,133.0
136,green,1.0,134.0
137,green,1.0,135.0
138,green,1.0,136.0
139,green,1.0,137.0
140,green,1.0,138.0
141,green,1.0,139.0
142,green,1.0,140.0
143,green,1.0,141.0
144,green,1.0,142.0
145,green,1.0,143.0
146,green,1.0,144.0
147,green,1.0,145.0
148,green,1.0,146.0
149,green,1.0,147.0
150,green,1.0,148.0
151,green,1.0,149.0
152,green,1.0,150.0
153,green,1.0,151.0
154,green,1.0,152.0
155,green,1.0,153.0
156,green,1.0,154.0
157,green,1.0,155.0
158,green,1.0,156.0
159,green,1.0,157.0
160,green,1.0,158.0
161,green,1.0,159.0
162,green,1.0,160.0
163,green,1.0,161.0
164,green,1.0,162.0
165,green,1.0,163.0
166,green,1.0,164.0
167,green,1.0,165.0
168,green,1.0,166.0
169,green,1.0,167.0
170,green,1.0,168.0
171,green,1.0,169.0
172,green,1.0,170.0
173,green,1.0,171.0
174,green,1.0,172.0
175,green,1.0,173.0
176,green,1.0,174.0
177,green,1.0,175.0
178,green,1.0,176.0
179,green,1.0,177.0
180,yellow,1.0,178.0
181,yellow,1.0,179.0
182,yellow,1.0,180.0
183,yellow,1.0,181.0
184,yellow,1.0,182.0
185,yellow,1.0,183.0
186,yellow,1.0,184.0
187,yellow,1.0,185.0
188,yellow,1.0,186.0
189,yellow,1.0,187.0
190,yellow,1.0,188.0
191,yellow,1.0,189.0
192,yellow,1.0,190.0
193,yellow,1.0,191.0
194,yellow,1.0,192.0
195,yellow,1.0,193.0
196,yellow,1.0,194.0
197,yellow,1.0,195.0
198,yellow,1.0,196.0
199,yellow,1.0,197.0
200,yellow,1.0,198.0
201,yellow,1.0,199.0
202,yellow,1.0,200.0
203,yellow,1.0,201.0
204,yellow,1.0,202.0
205,yellow,1.0,203.0
206,yellow,1.0,204.0
207,yellow,1.0,205.0
208,yellow,1.0,206.0
209,yellow,1.0,207.0
210,yellow,1.0,208.0
211,yellow,1.0,209.0
212,yellow,1.0,210.0
213,yellow,1.0,211.0
214,yellow,1.0,212.0
215,yellow,1.0,213.0
216,yellow,1.0,214.0
217,yellow,1.0,215.0
218,yellow,1.0,216.0
219,yellow,1.0,217.0
220,yellow,1.0,218.0
221,yellow,1.0,219.0
222,yellow,1.0,220.0
223,yellow,1.0,221.0
224,yellow,1.0,222.0
225,yellow,1.0,223.0
226,yellow,1.0,224.0
227,yellow,1.0,225.0
228,yellow,1.0,226.0
229,yellow,1.0,227.0
230,yellow,1.0,228.0
231,yellow,1.0,229.0
232,yellow,1.0,230.0
233,yellow,1.0,231.0
234,yellow,1.0,232.0
235,yellow,1.0,233.0
236,yellow,1.0,234.0
237,yellow,1.0,235.0
238,yellow,1.0,236.0
239,yellow,1.0,237.0
240,red,1.0,238.0
241,red,1.0,239.0
242,red,1.0,240.0
243,red,1.0,241.0
244,red,1.0,242.0
245,red,1.0,243.0
246,red,1.0,244.0
247,red,1.0,245.0
248,red,1.0,246.0
249,red,1.0,247.0
250,red,1.0,248.0
251,red,1.0,249.0
252,red,1.0,250.0
253,red,1.0,251.0
254,red,1.0,252.0
255,red,1.0,253.0
256,red,1.0,254.0
257,red,1.0,255.0
258,red,1.0,256.0
259,red,1.0,257.0
260,red,1.0,258.0
261,red,1.0,259.0
262,red,1.0,260.0
263,red,1.0,261.0
264,red,1.0,262.0
265,red,1.0,263.0
266,red,1.0,264.0
267,red,1.0,265.0
268,red,1.0,266.0
269,red,1.0,267.0
270,red,1.0,268.0
271,red,1.0,269.0
272,red,1.0,270.0
273,red,1.0,271.0
274,red,1.0,272.0
275,red,1.0,273.0
276,red,1.0,274.0
277,red,1.0,275.0
278,red,1.0,276.0
279,red,1.0,277.0
280,red,1.0,278.0
281,red,1.0,279.0
282,red,1.0,280.0
283,red,1.0,281.0
284,red,1.0,282.0
285,red,1.0,283.0
286,red,1.0,284.0
287,red,1.0,285.0
288,red,1.0,286.0
289,red,1.0,287.0
290,red,1.0,288.0
291,red,1.0,289.0
292,red,1.0,290.0
293,red,1.0,291.0
294,red,1.0,292.0
295,red,1.0,293.0
296,red,1.0,294.0
297,red,1.0,295.0
298,red,1.0,296.0
299,red,1.0,297.0
300,red,1.0,298.0

extraInfo
participant,
session,001
date,2019_Aug_08_2030
expName,MTEC_paradigm
