Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.031990299999961,None,13.424094999999397,18.42491329999939,28.92548259999967,None,2,6.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
2,green,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
3,green,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
4,green,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
5,green,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
6,green,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
7,green,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
8,green,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
9,green,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
10,green,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.25508949999949,None,2,2.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
,,red,green,red,green,right,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,68.25508949999949,None,96.79440239999985,None,right,1.213483399999859,96.79440239999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.37,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.26223669999945,None,102.26223669999945,None,107.26422619999994,112.26318879999963,122.76462850000007,None,2,2.226,,,,,,,,,,,,,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
,,,,,,,resources\pictures\,Positive\,2655.0,boy and dog,.jpg,resources\pictures\Positive\2655.jpg,1024.0,768.0,,,,,,,,,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.25735429999986,None,131.25735429999986,None,136.2587829999993,None,136.2587829999993,None,164.69277710000006,None,2,5.073,,001,2019_Aug_14_2306,MTEC_paradigm,3.1.3,147.6683899564825,
