Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,text_emotion_screen_neg_title.started,text_emotion_screen_neg_title.stopped,text_emotion_neg_screen.started,text_emotion_neg_screen.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,text_ending_screen.started,text_ending_screen.stopped,text_ending_subtitle.started,text_ending_subtitle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.843010499998854,None,13.801933299999291,18.80287639999915,29.30360119999932,None,1,107.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
2,green,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
3,green,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
4,green,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
5,green,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
6,green,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
7,green,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
8,green,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
9,green,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
10,green,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1333580999999,None,2,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,red,green,red,green,right,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,165.1333580999999,None,178.12806209999871,None,right,1.7248665999995865,178.12806209999871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.18526229999952,None,183.18526229999952,None,188.18702099999973,193.1875583000001,203.69057949999842,None,1,11.998,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,5910.0,fireworks,.jpg,resources\pictures\Positive\5910.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.84548939999877,None,221.84548939999877,None,226.84801589999915,None,226.84801589999915,None,259.7561704999989,None,4,2.952,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
,,,,,,,resources\pictures\,Positive\,5833.0,sunny beach,.jpg,resources\pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.73503119999987,None,4,5.115,,,,,,,,,,,,,,001,2019_Aug_15_0014,MTEC_paradigm,3.1.3,147.857908552986,
