path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_meas_neg.started_mean,image_emotion_meas_neg.started_raw,image_emotion_meas_neg.started_std,image_emotion_meas_neg.stopped_raw,rating_emotion_evaluation_neg.response_mean,rating_emotion_evaluation_neg.response_raw,rating_emotion_evaluation_neg.response_std,rating_emotion_evaluation_neg.rt_mean,rating_emotion_evaluation_neg.rt_raw,rating_emotion_evaluation_neg.rt_std,order
resources\pictures\,Negative\,1112.0,snake at feet,.jpg,resources\pictures\Negative\1112.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,930.978515625,930.978515625,0.0,,2.0,2.0,0.0,1.5140000581741333,1.5140000581741333,0.0,14.0
resources\pictures\,Negative\,1240.0,spider,.jpg,resources\pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1312.0789794921875,1312.0789794921875,0.0,,2.0,2.0,0.0,1.0759999752044678,1.0759999752044678,0.0,22.0
resources\pictures\,Negative\,1300.0,dog threat 1,.jpg,resources\pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,797.5670166015625,797.5670166015625,0.0,,4.0,4.0,0.0,1.5420000553131104,1.5420000553131104,0.0,3.0
resources\pictures\,Negative\,1301.0, dog threat 2,.jpg,resources\pictures\Negative\1301.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,820.8960571289062,820.8960571289062,0.0,,4.0,4.0,0.0,1.6089999675750732,1.6089999675750732,0.0,5.0
resources\pictures\,Negative\,2206.0,fingerprints,.jpg,resources\pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,919.3450927734375,919.3450927734375,0.0,,2.0,2.0,0.0,1.5950000286102295,1.5950000286102295,0.0,13.0
resources\pictures\,Negative\,2221.0,judge,.jpg,resources\pictures\Negative\2221.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1267.2615966796875,1267.2615966796875,0.0,,2.0,2.0,0.0,1.1239999532699585,1.1239999532699585,0.0,18.0
resources\pictures\,Negative\,2276.0,child crying,.jpg,resources\pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,1289.3289794921875,1289.3289794921875,0.0,,2.0,2.0,0.0,1.1950000524520874,1.1950000524520874,0.0,20.0
resources\pictures\,Negative\,2278.0,poor children,.jpg,resources\pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,858.9922485351562,858.9922485351562,0.0,,2.0,2.0,0.0,1.0470000505447388,1.0470000505447388,0.0,8.0
resources\pictures\,Negative\,2375.1,famine,.jpg,resources\pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,882.919921875,882.919921875,0.0,,2.0,2.0,0.0,3.7850000858306885,3.7850000858306885,0.0,10.0
resources\pictures\,Negative\,2399.0,headache,.jpg,resources\pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,986.9080810546875,986.9080810546875,0.0,,2.0,2.0,0.0,256.1990051269531,256.1990051269531,0.0,16.0
resources\pictures\,Negative\,2410.0,math problem,.jpg,resources\pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,754.2470092773438,754.2470092773438,0.0,,4.0,4.0,0.0,5.769999980926514,5.769999980926514,0.0,0.0
