path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,n,image_emotion_meas_pos.started_mean,image_emotion_meas_pos.started_raw,image_emotion_meas_pos.started_std,image_emotion_meas_pos.stopped_raw,rating_emotion_evaluation_pos.response_mean,rating_emotion_evaluation_pos.response_raw,rating_emotion_evaluation_pos.response_std,rating_emotion_evaluation_pos.rt_mean,rating_emotion_evaluation_pos.rt_raw,rating_emotion_evaluation_pos.rt_std,order
resources\pictures\,Positive\,1441.0,polar bears,.jpg,resources\pictures\Positive\1441.jpg,800,600,2.4,1,"(2.4, 1)",1.0,372.1539306640625,372.1539306640625,0.0,,4.0,4.0,0.0,13.057000160217285,13.057000160217285,0.0,9.0
resources\pictures\,Positive\,1460.0,tiger cub,.jpg,resources\pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,525.216064453125,525.216064453125,0.0,,4.0,4.0,0.0,1.5889999866485596,1.5889999866485596,0.0,21.0
resources\pictures\,Positive\,1463.0,group of cats,.jpg,resources\pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,466.26959228515625,466.26959228515625,0.0,,4.0,4.0,0.0,2.0380001068115234,2.0380001068115234,0.0,16.0
resources\pictures\,Positive\,1710.0,three dogs,.jpg,resources\pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,324.0880432128906,324.0880432128906,0.0,,4.0,4.0,0.0,3.2760000228881836,3.2760000228881836,0.0,5.0
resources\pictures\,Positive\,1750.0,rabit,.jpg,resources\pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,419.0350646972656,419.0350646972656,0.0,,4.0,4.0,0.0,2.2820000648498535,2.2820000648498535,0.0,12.0
resources\pictures\,Positive\,1811.0,group of apes,.jpg,resources\pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,431.345947265625,431.345947265625,0.0,,4.0,4.0,0.0,1.5160000324249268,1.5160000324249268,0.0,13.0
resources\pictures\,Positive\,1942.0,group of turtles,.jpg,resources\pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,395.2497863769531,395.2497863769531,0.0,,4.0,4.0,0.0,1.684999942779541,1.684999942779541,0.0,10.0
resources\pictures\,Positive\,2040.0,baby on belly,.jpg,resources\pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,442.8919677734375,442.8919677734375,0.0,,4.0,4.0,0.0,1.934999942779541,1.934999942779541,0.0,14.0
resources\pictures\,Positive\,2057.0,sitting baby,.jpg,resources\pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,601.98193359375,601.98193359375,0.0,,4.0,4.0,0.0,2.752000093460083,2.752000093460083,0.0,27.0
resources\pictures\,Positive\,2070.0,baby suprise,.jpg,resources\pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,501.9224853515625,501.9224853515625,0.0,,4.0,4.0,0.0,1.5779999494552612,1.5779999494552612,0.0,19.0
resources\pictures\,Positive\,2091.0,children and kitten,.jpg,resources\pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,299.9530334472656,299.9530334472656,0.0,,4.0,4.0,0.0,2.2799999713897705,2.2799999713897705,0.0,3.0
resources\pictures\,Positive\,2154.0,father and son,.jpg,resources\pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,348.9650573730469,348.9650573730469,0.0,,4.0,4.0,0.0,1.5089999437332153,1.5089999437332153,0.0,7.0
resources\pictures\,Positive\,2304.0,smiling girl,.jpg,resources\pictures\Positive\2304.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,678.1697387695312,678.1697387695312,0.0,,4.0,4.0,0.0,18.709999084472656,18.709999084472656,0.0,33.0
resources\pictures\,Positive\,2311.0,mother daughter,.jpg,resources\pictures\Positive\2311.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,337.3959655761719,337.3959655761719,0.0,,4.0,4.0,0.0,1.5440000295639038,1.5440000295639038,0.0,6.0
resources\pictures\,Positive\,2332.0,girl and dog,.jpg,resources\pictures\Positive\2332.jpg,800,600,2.4,1,"(2.4, 1)",1.0,628.1807250976562,628.1807250976562,0.0,,4.0,4.0,0.0,3.690000057220459,3.690000057220459,0.0,29.0
resources\pictures\,Positive\,2339.0,football group,.jpg,resources\pictures\Positive\2339.jpg,800,600,2.4,1,"(2.4, 1)",1.0,560.2246704101562,560.2246704101562,0.0,,4.0,4.0,0.0,4.629000186920166,4.629000186920166,0.0,24.0
resources\pictures\,Positive\,2341.0,children and kitten,.jpg,resources\pictures\Positive\2341.jpg,1024,768,1.9,1,"(1.9, 1)",1.0,706.9201049804688,706.9201049804688,0.0,,4.0,4.0,0.0,2.9110000133514404,2.9110000133514404,0.0,34.0
