feature,value
name,raw (peak data)
mean_nni,699.9414519906323
sdnn,289.96790502056984
sdsd,392.22018600216165
nni_50,375
pnni_50,87.82201405152225
nni_20,402
pnni_20,94.14519906323186
rmssd,392.220187717149
median_nni,718.75
range_nni,1062.5
cvsd,0.5603614225185198
cvnni,0.41427451424101486
mean_hr,112.39442973693315
max_hr,274.2857142857143
min_hr,46.829268292682926
std_hr,69.41095283916026
stress level,1.0
name,interpolated (no artifacts)
mean_nni,884.3193620178041
sdnn,147.4762950813063
sdsd,195.27052655385643
nni_50,221
pnni_50,65.57863501483679
nni_20,268
pnni_20,79.52522255192878
rmssd,195.270797879338
median_nni,875.0
range_nni,671.875
cvsd,0.22081479414153843
cvnni,0.16676813990004793
mean_hr,69.69827645448494
max_hr,98.46153846153847
min_hr,46.829268292682926
std_hr,11.297304773489264
stress level,1.0
name,nn_intervals (no artifacts or ectopic beats)
mean_nni,908.3831756923839
sdnn,133.73414936055812
sdsd,113.2144597870532
nni_50,203
pnni_50,60.23738872403561
nni_20,266
pnni_20,78.93175074183976
rmssd,113.21492776435103
median_nni,906.25
range_nni,640.625
cvsd,0.12463344852028642
cvnni,0.1472221777540341
mean_hr,67.49182906441392
max_hr,96.0
min_hr,47.407407407407405
std_hr,9.954474999770305
stress level,1.0
